IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2 30>;2 31>;2 41>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30 31>;30 31>30>;30 41>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31 41>;31 41>30>;31 41>41>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41 43>;41 44>;41>;41>14>;41>2>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;42>;43 44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
40960-6401;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;1;;;;;;;;;;;;3;5;;;;;;;;1;;3;1;1;4;;;;2;;;;;;;;;;1;;;;;;;1;;32;;;1;;;;11;;;3;3;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;4;;;;;;2;;2;;;;;91
41058-6590;20130201;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;;;1;6;15;;;;;;;;2;;;;;;;;1;1;4;20;;;4;1;;;;1;;1;;;29;;;;10;;2;;;;;3;;;2;;;;;;;1;9;47;;;;2;;;14;;;5;1;;;;;;1;;;;4;;5;12;;;5;;2;;;;;21;;;;;;9;;;4;;;;;;;;1;;;;2;;;;;9;;;1;1;11;5;;;2;;1;;;;;285
41089-6400;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;10;;;;;;1;;;;;;;;;;;;1;5;;;;;;;;;;;;;5;;;;2;;;;;;;1;;;;;;;;;;;;11;;2;;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;1;4;1;;;2;;1;;;;;58
41125-7114;20130202;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;;;1;;;;;;;;;;;;;;;;;;1;9;;;1;;;;;1;;1;1;1;11;;;;5;;;;;;;1;;;1;;;;;;;;;4;;;1;;;;4;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;53
41126-6400;20130102;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;7;;;;;;;;;;;1;;;;;;;;;;;2;18;;;;;;;4;;;;;;;;;;2;;;;2;;5;10;;;6;;3;;;;;19;;;;;;5;;;4;;;;;;;;;;;;2;;;;;2;;;2;;4;1;;;2;;1;;;;;107
41258-6590;20130201;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;1;;;;;;;;1;;;;;;;;3;2;2;13;;;3;1;;;;;;2;1;1;12;;;;6;;2;;;;;3;;;1;;;2;;;;;;10;;;1;1;;;2;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;4;;;;8;;;;;;;92
41281-6401;20130102;SUCESSO;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;2;;1;19;;;;;;;;;;;;;3;;;2;;3;20;;;5;1;;3;1;2;;5;;1;27;;;;10;;2;;;;;2;;;2;;;3;;;;;;50;;1;;1;;;9;;;2;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;5;;;;;2;;;;;26;11;;;6;;;;;;;239
41289-6400;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;6;;;;;;3;;1;;;;;2;;;2;1;1;9;;;2;;;1;;1;;3;;1;16;;;;2;;;;;;;2;;;1;;;2;;;;;;24;;1;2;2;;;6;;;2;1;;;;;;;;;;;;1;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;2;;;;9;;;;;2;;;;;1;;;;1;;;;;;;121
41299-6401;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;5;17;;;;;;2;;2;;;;;;;;1;1;5;18;;;4;1;;;;3;;;;;9;;;;4;;1;;;;;;;;2;;;;;;;1;1;19;;;;1;;;3;;;;;;;;;;1;;;;1;;;2;;;;;;;;;;2;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;120
41322-6400;20130102;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;1;;;5;1;3;17;;;2;1;;1;;1;;5;1;1;23;;;;6;;1;;;;;2;;;2;;;;;;;2;1;23;;;2;;;;3;;;1;1;;;;;;1;;;;1;;;2;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;3;;;;;2;;;;;5;2;;;1;;;;;;;128
41365-7297;20130202;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;6;;;;1;;;;;;;1;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;11;6;;;3;;1;;;;;50
41556-6400;20130102;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;3;1;;11;;;1;;;1;;;;1;;;20;;;;4;;;;;;;;;;;;;;;;;;;7;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;54
