IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
30904-4603;20120102;SUCESSO;3;2;1;1;48;1;;4;2;;1;;3;;3;2;;;1;;;18;;5;3;2;1;3;2;1;;;1;1;1;1;1;;;6;1;1;1;4;;2;;;;2;2;2;;2;2;1;12;5;1;1;;;;;;4;4;;;13;;;;11;4;;;;4;4;1;;;;;;;;35;;1;1;1;9;;;5;2;1;1;;1;;1;1;;;8;;6;;3;1;;;12;3;1;;3;;;1;;;;1;;3;2;2;1;;;;;;;;2;2;;;;;2;1;2;2;;;;319
30926-4433;20120102;SUCESSO;2;1;1;1;118;37;7;11;4;;8;2;7;2;3;;;;3;1;2;29;;14;8;6;5;3;3;1;1;12;2;1;1;;;1;1;23;1;1;1;8;;4;3;;;1;1;1;;14;5;4;20;1;1;;7;;6;4;3;10;6;;;23;3;3;1;17;;7;6;4;8;3;8;8;1;3;4;;4;1;98;1;2;6;4;29;;2;11;6;5;4;2;1;;2;2;1;;13;;11;;4;3;1;;34;3;2;;10;1;;4;1;1;1;3;;2;1;1;1;5;;;;13;1;8;6;5;;;;;7;;4;4;;2;;855
30940-4435;20120102;SUCESSO;2;;2;2;104;6;1;7;3;;;;38;3;24;;7;4;2;5;;14;;6;2;1;;3;2;1;;;1;;;8;8;10;8;18;2;2;2;7;;;1;;5;;;;;2;2;;78;9;1;;30;3;16;11;7;12;5;5;1;84;8;2;1;63;2;20;10;8;8;2;14;9;3;2;9;;3;2;76;1;2;8;7;28;;5;9;4;1;1;1;;;4;3;2;;17;;15;;7;4;1;;24;4;3;;8;1;1;4;1;1;1;1;;3;;;2;5;2;;;1;;1;;;;;;;2;1;;;;;;1005
30965-4433;20120102;insucesso;;;;;25;7;;3;1;;1;;4;;1;;;;;1;;2;;;;;;1;1;;;;;;;;;1;;10;;;;2;1;;1;;;;;;;1;;;8;;;;5;;3;2;;1;1;1;;13;;;;7;;5;3;2;1;;3;2;2;;;;;;24;;1;2;1;4;;1;1;;;;;2;2;2;2;;;5;;5;;1;1;1;;12;1;;;3;1;;2;;2;1;;;;;;;;;;;;;;2;2;;;;;3;;2;2;;;;210
30968-4434;20120102;SUCESSO;2;1;1;1;29;1;;4;;;;;3;;1;;;;;1;;8;;3;1;;;;;;;;;;;2;2;;;11;1;1;1;2;;;2;;1;1;1;1;;3;2;1;4;;;;1;;1;1;;;;1;;10;1;;;4;;1;1;1;;;1;1;1;;1;;1;1;12;3;1;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;146
30969-5799;20130101;insucesso;;;;;14;1;;;;;;;;;;;;;;;;5;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;1;;;1;;;;;;;;;;;3;;3;;;;;;11;;;;1;;;;;;;;;;;;;14;9;;;;;;;;;;;;;;;;;;;81
30982-4435;20120102;insucesso;1;;1;1;32;10;1;4;1;1;1;;5;;3;;1;;;1;;8;1;3;2;1;1;;;;;;1;;;1;1;;;6;1;1;1;3;1;;1;;1;;;;;1;1;;8;2;;1;3;;1;;;1;;;;8;1;;1;8;2;3;1;;;;1;1;1;;;;;;19;;;3;2;4;;;2;1;1;;;2;;4;1;;1;7;;3;;1;1;;;3;;;;1;;;1;;;;1;;1;;;1;;;;;;;;1;1;;;;;1;;1;1;;;;207
30985-4433;20120102;insucesso;1;;1;;18;;;1;;;4;4;;;;;;;;;2;2;;1;;;;;;;;;1;;;;;;;15;1;1;;;;;2;1;2;;;;;7;;7;3;;;;1;;;;;2;;1;;9;;;;3;;1;;;1;;1;1;1;;2;;1;;37;;1;3;1;8;1;3;2;;;;;;;;;;;5;;5;;1;1;1;;28;;;;4;;;1;;1;;1;1;1;;;;;;;;;;;;;10;1;1;1;10;;;;3;3;3;236
30988-4603;20120102;insucesso;2;1;1;1;30;1;;;;;;;4;;;;;;;;;15;1;7;4;1;1;3;3;3;1;;1;;;;;;;4;1;1;1;2;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;6;1;;;;;;;;;;;;4;1;;;;;32;1;1;3;;10;;1;6;1;1;;;;;1;1;1;;6;;6;2;6;4;3;1;8;4;1;3;8;3;1;5;1;4;2;;;2;1;1;1;2;;1;;;;;1;1;;;;;1;;1;1;;;;245
30993-4435;20120102;insucesso;1;1;;;54;2;;4;;;;;22;1;18;;6;;;;;10;;2;1;1;1;5;4;3;;;;;;3;3;3;;6;;;;;;;;;1;;;;;;;;32;2;;1;9;;4;1;;5;3;;1;40;4;;;28;1;8;3;1;5;3;;;;1;3;3;;;29;1;1;2;;9;1;1;3;1;1;1;1;;;2;1;1;;10;2;7;1;5;;;;8;3;1;1;5;2;1;;;;;2;2;1;1;1;;1;;;;;;;;;;;;;;;;;;;;419
