aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;41 44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;48>29>;48>30>;49>49>;
22271-4917;;;;;;;;6;;;;6;7;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;;;;;2;2;;;;;3;;;;;;;;1;;1;;;;;2;;;;1;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
30965-4433;;1;;;9;4;1;21;1;;1;4;4;;22;1;3;2;;;1;;;;;;;;;;1;1;1;;;;;;3;5;;1;;;;;1;;2;1;;;7;2;;;;;;;;;;;;10;;2;1;;1;;;2;;;;;;;;;;;;;1;2;2;2;;;;;;;;;1;;;;;1;2;;2;1;5;;1;1;1;;1;1;;;1;2;1;1;1;;1;1;;1;1;;;1;;1;;;;;;1;;;
31359-4435;;6;5;;;;2;22;2;1;;7;14;11;19;2;3;2;1;1;1;;;;;1;;;3;;2;;1;4;1;;;;;;;;;;;4;;3;1;;;1;1;1;;;1;1;;1;;;;4;1;9;1;1;;;;;;1;;2;1;1;1;;2;2;;;;;;3;5;;1;;;1;1;3;2;;;1;;7;;;2;;1;;4;;3;2;;;;;;;;1;;;2;;1;1;;;;;;1;;1;;;;;;;1;;
14770-5489;1;5;;2;;3;;12;2;2;;9;6;;9;;1;2;;1;1;;;;1;;1;1;2;1;2;;;;;;1;;;;1;;1;1;;;;2;4;2;2;1;3;2;1;;;;;1;;;;3;;2;;;;;;1;1;2;;5;1;4;2;;;;1;;;;;;3;1;2;2;;;;3;1;1;;;;;;3;2;;1;1;2;;1;;;;;;;;;;;;1;;1;1;;;;;;1;;1;;;;;1;;;;
22977-4434;2;13;13;2;1;2;;54;2;;;29;24;;56;2;9;11;2;2;6;1;2;2;2;1;1;1;2;;5;1;6;1;1;9;1;;1;;1;;;1;;7;1;2;8;5;3;1;7;2;1;;1;;;10;2;;1;2;;17;2;3;;;2;4;3;2;1;8;;2;;2;6;2;1;1;;1;4;;10;1;6;2;;1;;2;2;;1;8;1;;4;;1;2;5;4;11;1;7;3;2;1;2;3;3;3;;2;;1;4;;3;3;1;1;1;;1;4;1;3;;1;1;1;;;2;;
23182-6030;;3;;;;;;2;;;;7;4;;4;;2;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;2;;2;2;;;;;;;;1;;2;;1;1;1;;;;;1;;1;;;;;;;1;1;3;1;1;;;;1;1;;;;;;;1;;1;1;1;;;;;1;;1;;1;1;;;;;1;
21321-4434;2;20;4;3;;4;1;45;1;;1;16;17;3;17;;4;6;;2;5;;2;1;4;;4;1;2;1;14;1;2;;2;1;1;;;;2;;1;7;2;2;3;5;9;6;3;1;2;2;;;1;;;4;;;1;1;;9;;;2;;2;3;3;5;2;7;2;2;;1;5;5;;;1;;1;1;12;1;7;2;;4;4;2;2;;1;;;2;1;;1;;;;2;;;;;;;;;;1;3;1;;1;;;;;;;;;;;;;;;;;1;;;
31316-4434;;7;1;;;1;;11;;;;4;5;1;2;;;;;;1;1;;;1;;;;;;6;;;;;1;;;;;;;1;1;;;;;3;2;;;;;;;;;1;3;2;;;1;;;;;;;;;;;;;;;;;2;1;;;;;;;2;;;;;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
31256-5061;1;6;6;;2;4;;23;;;1;5;11;3;18;;4;7;;2;2;2;;;;3;2;;;1;1;1;1;1;4;1;;;;;;1;;3;;1;;3;4;;;;4;;;;2;1;1;1;;;;3;;5;;;;;;1;1;2;1;1;1;1;;;;;1;1;;2;;2;1;;1;1;;;;;;;;2;1;1;1;1;;1;2;;3;;;;;;1;1;1;1;1;1;1;;2;2;1;1;1;3;;1;;3;1;3;1;2;1;;1;1;;;
31165-4448;1;10;;;2;5;4;49;1;1;;11;19;2;51;;9;13;;1;6;4;1;;1;;1;;2;1;3;;1;;;;;1;1;1;;2;;3;;;;2;5;3;;1;10;4;;;;;2;2;;1;;3;1;23;1;4;1;;1;;4;3;1;3;2;1;;1;2;;2;1;1;1;;5;6;1;;;;1;;3;1;1;1;6;;2;5;2;;;5;1;10;;2;;;;;2;2;1;2;6;2;1;4;2;1;;;5;1;;;4;2;3;1;2;1;;;;1;1;
