aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41 43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;46>1>;48>14>;48>31>;49>49>;
22525-4435;;2;;6;;4;;8;;;;10;5;;7;2;1;;;4;1;;;;1;;;;;;;;;1;1;;;2;;1;1;1;;1;1;;1;;1;;;2;2;;;;;;1;;;;1;;;1;;;;;;;;;;;;;2;1;1;5;;4;3;2;;1;1;;;;1;;;;;;3;;;3;2;1;1;1;;;;;;;;;;;;;;2;1;2;2;;;;;;;;;;;;1;;;;;1;1;;1;1;;;;;;3;;;
22559-5384;2;15;2;;;;;15;;;;5;1;;9;1;1;;2;3;3;1;1;2;1;1;1;1;1;8;;1;;1;;;;;;2;;;1;;;;;;;;;1;;;;;;2;;;;;;;;3;;;;;1;1;;;;;;;1;;;4;1;2;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;3;
30807-5489;3;16;1;5;;5;;49;1;;;13;19;1;56;9;9;;3;7;;2;2;1;2;1;3;1;1;8;;2;1;3;2;;;2;1;2;;;2;;3;;1;;;;1;10;4;1;1;2;1;;2;;;;4;;2;29;;2;2;3;2;2;;1;1;;;;;;;5;;;;;1;3;1;;;;2;1;1;3;;;7;;;2;;;2;;;;;4;1;2;3;6;2;1;4;2;2;2;;14;1;9;1;3;1;;;1;;3;1;1;2;2;2;2;1;2;;;2;;2;;1;;1;;1;;
30968-4434;1;2;;;2;2;;20;2;1;;11;17;;14;;;;1;;;;1;;;1;;;;1;1;;;;;;1;;2;;;;;;12;2;6;3;1;;2;2;;;;;;;5;4;2;;3;2;;5;1;;;;;;;2;1;1;1;1;5;3;1;2;;1;1;;;4;2;;;;1;;;;4;2;6;3;2;1;1;1;;;;;;3;;1;;2;;;;;;2;;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;
27512-4435;5;21;1;4;5;5;;34;;1;;28;17;1;24;8;3;;6;;;2;2;1;1;2;1;3;2;11;;1;2;3;1;2;1;1;1;2;1;1;1;;3;;3;;3;;;3;;;;1;;;7;1;1;1;4;;;7;;1;1;1;1;;;;;1;;;1;;;15;;13;11;8;;3;2;;;;;3;1;1;;;11;1;;7;5;3;2;1;;;;;;;;2;1;;1;;1;1;1;5;;3;;1;1;1;;1;;3;;;4;1;1;1;;1;;;2;1;2;1;1;1;3;;;;
31210-5799;;1;;;;;;5;;;;1;4;;2;2;4;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;2;;1;;1;;;;;;;1;1;;;;;;2;1;;1;;;1;1;2;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;;;
28043-4435;;;;;;;;10;1;2;;10;10;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;5;2;1;;;1;;1;1;;;;;;3;2;;;1;;;3;1;;;;;;;;1;1;2;1;;;;2;;;;;1;5;2;2;2;2;;3;1;;2;1;3;;;;;;3;2;2;2;2;;;;;1;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21361-4917;4;27;;2;8;9;1;67;;3;1;30;33;;38;8;6;;4;11;;3;1;;1;3;1;4;2;13;2;1;1;6;;;4;2;2;1;3;2;3;1;13;;9;;2;;1;9;5;4;1;3;1;;10;3;3;1;7;1;1;18;2;4;1;2;3;7;;;;3;2;2;4;1;1;13;3;5;2;1;1;5;5;;;;5;2;1;;;;18;1;;9;4;2;;;;;;3;2;2;;1;;;1;2;;8;4;16;6;11;5;6;5;3;1;3;2;3;2;2;2;4;3;2;2;2;1;3;3;2;2;2;2;2;2;2;;;
30639-5489;;4;;;;;;20;;2;1;6;3;;19;5;6;;;1;1;;;;;;1;;;3;;;;;;;;;;;;;3;;1;;;;;;1;4;3;3;3;2;1;1;3;;;;;;;10;1;2;1;1;1;;;;;1;;;2;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;1;;;1;;;1;;;1;;4;;4;;4;4;3;3;1;1;3;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;;;;1;
30812-5490;3;10;;8;;4;;63;6;4;1;44;54;1;21;7;8;;3;35;7;1;1;;1;3;;1;1;5;2;1;2;1;4;;;4;;3;3;2;3;1;24;;11;;1;;2;2;1;;;2;;6;10;4;2;1;12;2;2;7;1;;;2;2;24;1;4;3;3;3;2;2;1;1;11;1;3;2;1;;4;2;;;;3;3;1;;1;;18;2;1;5;3;2;;;;;;6;4;;6;6;2;1;;;2;3;;4;2;3;2;2;2;2;1;1;1;2;2;1;1;2;1;;;;;1;1;;;;;;1;6;10;1;
