aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>41>;2 14 41>;2 31>;2 41>;3>2>;5>5>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14 30>;14 30>31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>31>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;46>2>;48>14>;
16014-5799;;3;;;1;2;;8;1;1;4;;3;;;;;6;1;;;;1;1;;1;;;;;3;1;;;1;1;1;;;;;;;;;;1;;;;1;;;1;;1;1;;2;;1;1;;;;;;;;;2;;;2;;;;;;;1;;1;;1;;;;;;;;;;;1;1;1;1;;;;;1;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
28391-5489;;1;;;;1;1;2;;;;;2;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28256-5061;;5;3;;;;;6;;2;2;3;4;1;;1;;1;1;;;;1;;1;;;;;;3;;;;1;;2;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;1;;;;;;1;;2;;1;1;1;1;;;;;;2;1;2;;1;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22957-6590;;4;;2;;1;1;11;;8;9;;12;2;2;;;3;;;;;;;;;1;;;;4;;;;1;1;1;;1;1;;;;;;1;;;;1;;;;;;2;2;;2;2;;;;;;1;;;;;2;;1;4;1;;;;;;1;;;;;;5;4;;2;2;;1;;1;1;;5;;4;4;2;2;1;1;;;3;;;;3;;2;1;;;;;;;;;;;;1;;;;1;;;;;1;;1;1;1;;;;;;;;;2;
30609-5061;;2;4;;;;;6;;;;;3;2;3;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;1;;1;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;
17491-5799;;2;1;;3;;;11;1;3;7;;11;3;4;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;1;;;5;;2;1;;;;1;1;;1;;1;;;5;;3;2;;;;;;;;;;1;1;1;1;1;;;;;2;;1;;1;1;;;;;;;1;;;;2;2;;3;2;3;2;1;1;1;1;1;1;1;1;;;;1;2;2;2;2;1;2;;1;1;3;1;3;1;3;2;2;;;;
28101-7297;;;;3;;3;1;8;1;2;4;;8;1;1;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;;;;2;;;;;;;;;;;;;1;1;;;;4;;;;;;1;2;1;1;1;1;;;;;2;;;1;;;1;;1;1;;;;;2;1;;;;;;;;;;1;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;
24407-6030;5;24;2;;;6;1;37;;;2;;27;5;5;;5;2;;2;1;1;2;1;1;4;;1;2;2;16;1;1;1;5;;6;;;;;;;;;;;4;1;;5;2;;;2;;;;5;;3;;;;;1;1;1;;;;;;17;;2;1;1;2;2;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;2;1;;6;1;2;1;1;1;;;2;1;1;1;1;1;1;;3;3;2;1;;1;;1;;3;1;2;1;1;;;3;1;;
30588-5490;4;10;1;;4;1;;7;;2;3;;4;;;;4;3;;3;1;1;1;;1;;;1;2;;3;1;;;;1;2;;;;;;1;1;;;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;;1;;;;;;;2;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;
23668-5490;1;10;4;;;;;18;;;1;;24;4;4;;1;;;1;1;1;1;1;;3;;1;;;5;;;1;1;;3;2;;;;;;;;;;;;;2;1;3;;1;;;;2;;2;1;1;1;1;;;;;;;;;8;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;1;;;6;;6;4;3;2;2;;;;;;3;;;2;;;;;;1;;;;;;;;;;;;;;
