aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;
30687-4433;1;7;;;;;;17;;;3;6;;26;;2;;1;;;1;;;;;;1;;;4;2;3;;;;;;;;;;2;;;;1;;;5;4;3;2;;;;;;;;;2;;1;9;;2;2;;1;;1;;;;;;;;;;;;;;;;;;2;;3;;;;;;;;;;;;;3;;1;;1;;1;;10;1;6;6;4;3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
27350-6401;2;9;;4;;5;2;33;1;3;21;19;;35;8;9;1;2;;;1;2;1;;1;;;;;4;1;1;1;;;;;;2;1;1;2;1;1;;4;2;;8;4;;;1;1;;;6;;1;1;4;;2;12;2;1;1;2;;3;5;;1;;1;1;1;2;4;1;3;;;;;2;3;;2;5;2;1;9;4;1;1;;;3;;1;1;1;5;1;1;1;1;1;4;2;7;;2;1;1;1;1;2;1;1;;4;1;;;3;1;1;1;1;1;3;2;;1;;2;2;2;2;1;1;1;1;;
17491-6590;2;7;;;;;;16;1;1;6;6;;8;2;3;;2;4;;1;2;1;1;1;;;;;4;1;1;;;;;;;;;;2;;;;2;;;2;2;1;;;;;;2;1;;;1;;;2;;;;;;;2;;1;;1;1;1;1;2;1;1;;;;;;1;;;;;;1;1;1;;;;;;1;;;1;;;;1;;2;1;3;2;1;;;;;;;1;1;2;1;1;;1;1;1;;;;;;;;;1;;1;;;;;1;;
27889-5061;;3;;;;;;10;1;1;11;9;;10;3;4;;;;;;;;1;;;2;;;1;;1;;;;;;;;;;1;;;;2;;;2;2;2;1;;;;;4;1;;1;1;;;3;1;1;1;;;;;;1;1;;;1;;;;2;;2;1;;;3;1;1;;1;;3;;;;;;;;1;1;;3;1;2;;;1;1;;4;;3;2;1;1;1;1;;1;1;1;1;1;;1;1;1;;;;2;;;;;3;2;3;2;1;1;;;;
30586-4434;;;;2;;1;;7;;;;;;9;7;8;1;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;;2;;;;3;2;2;2;2;2;1;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;2;;;1;1;1;3;1;4;3;1;;4;2;2;2;2;;2;1;1;1;;2;2;2;2;2;2;2;;;
28164-6590;1;4;2;;;;;16;;;4;4;1;20;4;6;;1;1;;;;;;;;;1;1;3;;1;;;;;;;;;;;;;1;1;1;;2;1;1;1;1;1;1;;;;;;4;;2;7;;;;;2;;3;;;;;;;;1;;1;;1;1;1;;;;1;;1;1;1;;;;;;;;;;2;2;;;;;;1;;7;1;4;2;1;1;;;;;;2;;;2;1;1;;;;;1;;1;;;1;1;1;1;1;1;1;1;;
31358-4435;3;12;3;;2;8;;46;1;2;4;8;;45;12;17;1;3;3;4;2;1;1;;2;;2;2;1;7;3;4;;;;;2;;;3;1;3;3;;3;6;;;8;2;2;2;1;;;;1;;;;1;1;;18;1;3;1;;;2;5;;;;1;;1;1;1;1;1;1;;;;;;;;;;;2;;;;;;;;2;1;;;;1;1;2;;3;1;11;1;6;4;4;2;4;4;2;2;1;5;2;1;1;4;2;;;;1;3;1;1;1;;5;2;2;1;1;1;1;1;;
21513-6030;1;5;;3;3;5;;22;1;4;12;16;;14;;;;1;2;;1;;;;1;2;;1;;4;1;1;1;;;;1;1;2;2;2;1;2;1;;5;2;;2;;;;;;;;4;;2;;7;;2;7;;1;;;;;;2;;;1;;3;3;2;;2;;1;;;1;1;;;2;;;3;1;;;;;;;;;;2;;;;1;;;;3;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31155-4433;1;3;;;2;1;;16;;2;4;3;;19;3;2;;1;;3;1;1;1;1;1;;;;;1;;1;;;;1;1;1;;;;2;;;1;2;2;1;3;1;1;;;;;2;;;;;;;;8;1;1;;;;1;;;;;;;1;1;1;;1;1;1;1;;;2;1;;;;1;2;;;1;1;1;1;1;;;;;;;;1;;1;1;5;;2;1;1;;;;;2;1;2;2;1;;2;1;;;;;;;;;;1;;;;;;;;;
22787-4435;;;;;;;;14;1;;3;5;;8;2;1;;;8;6;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;;;;;;4;1;;;;2;;2;4;;;;;;;1;2;1;;1;1;;;1;1;1;;1;1;;;;;;;;2;2;1;1;1;1;1;;;2;;;2;;;;;;1;;2;1;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3;
31336-4434;2;9;1;6;;6;;56;3;;19;20;2;50;13;15;3;2;4;;;2;;;2;;1;;;5;1;1;3;;;;;;3;1;2;3;2;1;9;9;3;;7;4;2;2;5;5;2;;8;2;;2;3;;2;21;1;2;1;1;;2;4;1;3;1;2;2;;;1;;5;;3;2;1;;4;3;1;1;5;2;7;;;1;;;1;;4;;2;4;;;1;6;;3;1;9;2;4;3;2;1;;2;1;2;1;6;2;1;1;8;4;2;1;1;;3;1;2;;1;6;2;2;1;1;1;1;2;1;
22423-4434;;3;;;;;;9;;;4;4;;6;3;4;;;;;;;;;;1;;;;3;1;1;;;;;;;;;;;;;;2;1;;1;1;1;;2;1;1;;2;1;;1;;;;2;;;;;;;2;;;;;;;;1;;1;;;;;;1;1;;;1;;2;;;1;;;;;;;;2;1;;;;1;;;1;;1;;;;;;;;;1;;;;1;1;1;1;;;1;;;;1;1;1;1;1;1;1;;;;
27586-4435;4;15;1;2;2;5;1;52;1;1;15;22;1;37;15;19;3;4;2;2;1;2;1;1;2;1;2;2;2;6;;2;1;;;;1;1;1;2;;4;3;;;5;2;;9;1;1;;8;2;;1;3;1;;;5;1;2;15;1;3;;;;2;9;1;;;1;;1;;2;;5;1;2;2;2;;5;2;1;1;;3;10;2;;4;2;2;3;2;2;;;3;;3;1;1;;4;1;9;2;3;1;;;1;4;2;;;3;;;;4;;;;;1;3;1;1;2;3;3;1;3;1;1;;1;3;;
