aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
30618-4428;1;10;;;;22;7;;1;9;1;134;7;20;6;;111;230;11;5;4;9;6;20;;46;1;2;43;4;;;3;;;1;;5;4;4;5;3;89;1;36;;11;4;7;18;9;6;1;5;;1;12;3;4;1;1;1;7;2;10;1;10;1;;3;2;;30;1;12;5;3;;9;24;8;3;3;12;6;1;2;79;1;1;19;6;2;2;15;4;59;18;12;6;3;6;15;;8;8;4;;3;1;1;;1;1;;2;1;1;2;;;3;4;;;3;7;3;16;2;5;3;1;;;15;12;3;1;2;
31487-4428;1;6;;;;7;6;;1;4;;40;4;8;3;;26;39;2;3;3;6;3;11;;29;1;1;13;1;1;;3;1;;;;;2;;2;;14;;4;1;2;1;;;;2;1;3;;;2;;2;;;;4;4;3;1;5;2;;5;2;1;7;;4;1;1;;1;2;1;;;4;1;;;14;4;1;3;2;;;;;4;1;;1;2;1;4;;2;1;1;1;1;1;1;;2;1;;1;;;;1;;1;2;1;;;2;1;12;2;5;4;4;;;3;4;2;;;
35700-5102;1;4;;;;;;;1;3;;41;3;4;;14;6;26;1;7;7;14;6;13;1;31;;1;15;1;;;;;;1;;1;;1;4;2;9;;2;1;;;;;;4;;5;2;2;9;;3;;;;3;;1;1;3;;1;4;;;1;1;;;;;;;;;;;3;;2;5;2;;1;;;;;;1;;;;;;9;8;;;;;4;2;2;1;5;2;7;3;2;1;3;5;1;;6;;2;;;;5;;1;1;1;13;1;;;;;;
35751-4912;1;11;1;;;7;2;;1;9;;122;5;13;5;;86;106;;5;5;10;3;14;;45;;3;4;;2;;2;1;;1;;4;2;4;12;8;71;4;42;8;11;8;6;7;4;;;2;;1;12;;1;1;;;4;1;9;;4;5;;20;13;7;33;6;19;10;8;3;11;21;13;1;4;2;17;7;3;66;12;6;24;16;9;8;10;4;12;7;2;;2;3;;;;;;;1;;1;1;3;1;3;1;2;1;1;2;2;;3;4;;1;6;2;2;1;2;;2;;;2;;;;;
31525-4224;;1;;1;;;;2;1;1;2;38;2;1;;2;18;21;4;2;2;8;2;5;;30;2;;18;2;;;;;;1;;;;;1;;11;;2;1;1;;;2;;3;;2;;1;6;;1;1;2;1;2;2;;;1;;1;2;;;10;;3;1;;;1;1;;;;9;2;1;;5;1;;2;;;;;;4;;;;1;1;7;;5;1;;;1;;1;;1;1;1;1;1;1;;1;;;2;1;;1;;;4;;1;;3;1;;10;7;1;1;1;
21635-4428;1;9;;;;;;;1;1;;52;2;1;1;;2;17;;3;3;6;1;15;;33;;1;5;;1;;;;;1;;4;;1;2;1;9;1;;;;;;;;;;7;1;1;8;;;;;;2;1;;;1;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;3;;;;;;2;;1;;;;;;1;2;3;1;1;;;;;4;;;2;1;;;;;3;;;;1;;;1;3;2;;;
31181-4429;1;4;3;;3;5;13;7;1;3;1;72;2;9;2;4;35;60;18;5;5;17;4;14;6;30;1;2;10;3;;2;;;3;1;;;5;2;6;1;17;;7;2;3;1;1;2;1;2;2;5;;1;8;;3;;;1;2;1;5;;4;2;;6;;;9;1;3;1;;;2;8;5;1;1;1;2;;;27;5;;7;3;1;;2;1;12;3;2;6;;2;7;1;4;6;12;7;2;2;1;1;5;1;2;2;;;;2;1;1;3;;;;4;;13;1;4;2;1;3;;5;2;;;1;
30975-4428;;5;3;5;;6;2;3;1;8;1;87;8;7;;4;15;55;12;7;7;19;6;14;3;26;5;;15;11;2;;1;;;1;2;3;1;4;1;;20;2;5;2;;;;;;;3;1;;;7;1;;;6;3;8;1;2;1;5;;1;4;1;1;;;;;;;;1;;;;1;9;2;1;9;3;1;;;;;1;;7;1;2;1;;;4;3;;;6;1;3;1;3;1;4;3;;3;1;2;2;2;;;5;2;;1;3;;2;;1;;5;4;1;;1;;4;2;
25513-4912;1;6;1;1;8;;8;5;1;14;;124;4;11;;7;66;84;11;5;5;7;3;9;1;47;2;1;12;7;1;8;;;5;1;2;1;5;10;5;;39;1;21;2;9;3;5;8;5;;3;4;;2;25;6;6;2;;5;4;1;6;;5;;1;10;3;1;31;3;19;13;11;9;4;14;12;;3;4;11;3;1;49;7;2;23;14;9;8;8;6;18;9;;2;1;3;3;3;;;11;6;2;1;1;1;3;1;2;2;1;1;2;3;1;;5;1;1;;9;5;12;2;5;;;7;1;;3;2;1;3;
30813-4224;1;7;8;;;;;;;;;54;3;2;2;3;10;26;2;5;3;9;2;16;8;13;2;1;5;;1;;;;;;;3;;;4;;16;1;3;;2;;;;;2;1;4;;;3;;;;;;3;;;;2;2;;2;1;1;5;;;;;;;;;;;;3;1;;4;;;2;;;;;;1;;;;;;4;3;;1;;;1;;1;;1;1;;;2;1;;1;;;5;4;;1;;;3;;2;1;1;3;;;;;;;
