aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
31093-4428;1;3;;1;;;;;1;2;;51;2;2;;1;20;27;4;6;6;20;6;11;;30;;1;8;5;;;;;;;1;1;;1;;;15;1;7;1;;;5;2;1;3;;3;1;2;13;2;1;;;1;2;1;;;2;;;5;2;1;1;;;;;;;8;6;2;;3;3;2;1;14;3;1;1;;;;8;6;2;1;;3;;1;4;1;1;4;;;2;2;2;1;6;2;6;3;;;1;2;;;4;1;;;2;1;3;;;;2;1;;1;3;1;3;1;
35686-5102;1;13;2;;;;2;;1;9;;121;4;3;2;;52;117;;6;6;6;7;37;1;32;3;1;10;1;1;;;;;;;4;;5;5;;35;1;16;1;7;2;;6;3;;;16;1;2;9;2;3;1;1;1;3;3;;;3;2;;4;;;19;;9;3;2;1;;3;2;;1;1;3;1;;41;4;;13;6;2;2;2;1;12;4;;;2;5;1;;;;;;4;4;;1;1;;;4;;;2;6;1;6;5;1;4;;6;3;10;2;3;1;2;;;3;5;2;;1;
30812-4912;;10;;;2;42;13;;1;4;;62;5;24;9;;77;100;2;5;5;9;4;16;1;37;;4;13;;;1;17;8;1;;;2;7;1;3;2;33;;13;;;;;5;2;2;;4;;;3;;;;;;5;1;15;3;8;2;;4;3;;13;;6;2;1;;2;10;5;1;3;2;4;1;1;47;;;7;4;;;3;2;14;6;1;1;2;3;6;;1;1;1;;4;2;;;1;;1;3;;1;;1;;5;4;;;2;1;1;7;;1;;1;;;1;4;2;;;
21973-6547;1;9;;;;;2;;1;6;;75;2;15;5;;66;60;4;2;1;2;1;7;1;8;;2;19;1;1;;;;;1;;5;1;4;3;1;45;;31;5;1;;4;6;5;1;;4;;1;4;1;1;1;;1;2;1;13;4;2;5;;10;2;1;8;;3;3;3;3;1;5;2;;;3;2;1;;47;6;1;3;1;1;1;4;1;8;6;;1;1;2;2;;2;1;3;2;;;1;;1;1;;;;;1;;;1;2;1;1;;1;1;2;;2;1;3;;;4;4;2;1;1;
31958-4429;1;8;;1;1;;6;;1;4;3;49;3;1;;11;2;24;4;5;5;14;4;17;1;19;;1;13;2;;1;;;1;1;;6;3;2;3;;12;;;;;;;2;;3;1;10;;2;10;3;3;;;1;3;;;;1;;7;;;;;;;;;;;;;;;1;3;;;1;;;;;;;;;5;;;2;;5;8;6;;1;1;;1;;3;;3;2;3;;1;;1;2;;1;4;7;1;;7;;11;4;5;2;1;11;7;1;5;2;2;1;
32885-4429;1;5;;;1;;2;1;1;2;;29;2;5;;4;2;22;3;4;4;4;2;5;;28;1;1;7;1;1;1;;;1;1;;2;1;;15;;4;;;;;;;4;;;;;;;8;1;1;;;;2;;;;5;;2;;;;2;;;;;;1;1;;;;;5;1;2;2;;;2;;;;;;12;1;;;;;4;2;;1;1;;3;1;;1;2;;1;1;;1;;1;;;2;;3;1;2;;6;;4;3;2;4;2;;4;;;;
35558-5102;1;18;3;;5;;4;2;1;15;;149;4;17;2;5;75;91;4;4;4;10;4;23;2;46;4;1;9;;1;2;;;4;1;1;8;1;9;5;3;50;1;30;3;13;7;;2;;;1;11;2;3;18;3;5;2;;;4;3;12;5;5;2;1;23;2;;37;10;18;12;6;3;4;5;4;1;1;1;6;1;;52;6;;26;11;9;4;2;1;5;1;1;;;1;2;2;;2;1;1;;;1;1;3;1;4;2;;1;2;6;2;3;3;1;1;1;11;6;11;6;3;1;1;5;1;;1;1;;;
35067-4912;1;2;;2;1;7;7;2;1;8;;89;3;17;;2;50;66;5;4;4;9;3;13;;65;1;3;9;1;1;1;2;;;;;1;2;1;6;;27;1;11;;2;1;;1;;;;2;1;;16;1;1;1;1;;3;1;10;;6;;;3;1;1;8;1;1;;;;1;4;2;1;2;1;3;;;30;1;;3;1;;;1;1;3;;;1;1;3;2;1;;2;1;;1;1;;1;1;;1;3;;2;1;3;3;2;4;;;1;3;2;10;1;1;;;2;;;;;;;
31380-4428;1;3;;1;3;9;5;;1;4;2;115;3;5;;2;22;57;4;8;8;21;10;23;;55;1;1;6;5;1;2;5;3;3;;1;3;4;2;6;1;31;5;9;2;;;3;;;1;;9;2;2;18;1;5;1;2;1;3;;1;;4;;;4;3;;;;;;;;;12;9;6;;;13;3;2;20;4;3;;;;;9;7;1;;;1;;;3;;;2;1;;1;1;4;3;5;3;6;2;;1;4;3;1;;7;5;;1;2;;18;;4;3;1;1;;;;;;;
35908-4912;4;20;11;6;;14;5;8;1;5;11;80;3;10;;24;28;56;18;8;8;19;6;19;5;38;7;4;42;6;2;;7;4;;1;1;8;;3;4;2;19;4;1;;1;;;1;;6;10;3;;;16;1;6;1;2;2;3;;7;1;3;;7;4;1;;7;;2;1;1;;;1;1;;;3;11;1;2;8;1;;2;1;1;1;;;2;;;1;;1;15;8;;4;11;1;2;2;2;2;6;2;6;2;1;;3;4;2;;6;3;2;1;3;;9;2;1;;14;20;3;;5;2;;;
33521-4429;;3;;1;;;1;3;1;3;1;35;3;3;1;;11;26;3;4;3;6;2;10;1;17;;;5;5;;;;;;;;1;1;;9;1;4;;1;;;;;1;1;;2;5;1;2;7;;2;;1;1;3;1;;;3;1;;1;1;;3;;1;;;;1;1;;;1;;4;;;6;;;2;1;;;;;2;1;;;;1;2;;;1;2;;1;;;;1;;;2;1;1;;3;1;;4;2;1;;1;;2;;;;1;;;;;;;1;
27908-4428;1;2;;;;1;1;;1;2;;52;4;5;2;;89;36;2;3;3;7;3;7;;31;;1;4;;;;;;;1;2;;1;2;3;1;21;3;14;4;9;6;2;;;1;;2;1;1;11;;2;;1;;3;2;2;;3;2;;8;5;3;34;3;19;15;6;5;2;13;7;4;;;7;3;1;26;6;4;13;9;6;2;8;5;2;1;;1;;;2;;2;1;1;;1;1;2;;3;2;1;1;1;;2;4;1;;2;;;;;;5;;;;1;;;2;;;;;
20415-4224;1;4;;1;2;22;9;6;1;9;1;92;3;6;2;3;36;69;15;5;3;14;2;12;2;29;1;1;9;2;2;1;12;6;2;1;3;3;3;7;11;4;28;4;9;1;5;2;1;1;;2;3;6;2;2;12;;4;;2;1;3;3;2;;4;1;;9;3;2;21;7;8;4;3;3;4;8;4;;;2;7;1;;28;3;1;17;6;4;3;3;2;3;1;1;4;1;1;3;3;;3;9;4;2;;2;;2;1;4;1;2;1;1;3;1;;4;2;1;1;2;;10;1;2;1;1;3;;1;;;;1;
30940-4224;1;16;2;;;13;1;;1;6;;137;4;12;4;3;64;104;3;4;4;34;2;13;;35;;1;24;;;;9;7;;1;;7;1;4;3;1;59;1;23;2;7;2;3;4;3;2;;2;;1;14;2;1;1;2;;4;2;6;1;6;1;;10;3;2;25;4;9;5;1;1;5;11;5;;1;6;6;2;1;49;4;1;21;7;4;1;3;2;10;6;1;2;2;3;6;2;1;2;1;;3;1;;1;1;;4;2;2;1;;3;;;3;1;2;1;3;3;8;;3;1;3;3;;1;7;1;;;
32422-5102;1;5;;;;;;;1;1;;35;2;1;;;5;12;;3;3;7;2;10;;10;;1;1;;;;;;;1;;2;;1;3;;7;1;2;;2;;;;;1;;5;1;3;3;;;;;;2;;;;1;;;1;;;4;1;1;;;;1;1;1;;;;2;1;1;3;;;3;1;;;;;1;;;;;;1;;1;;;;2;1;;;2;;2;2;1;1;;2;;1;3;3;1;;;;;;;;;;;1;;;;;
31876-4429;1;8;;2;1;9;7;2;1;7;1;73;4;7;4;4;67;70;1;4;4;3;4;14;1;62;;1;19;3;;;4;2;1;1;1;3;2;4;6;;22;;10;;2;;1;3;1;;;3;;;18;;4;2;;;4;3;3;1;4;1;1;4;2;1;23;1;10;8;5;3;2;8;5;;2;5;2;;;32;;;9;3;2;1;3;1;10;1;;1;2;3;2;;2;;1;;1;;3;;2;2;;;1;;1;1;;4;3;;4;2;4;;14;1;4;1;;3;1;7;4;2;1;2;
35990-5102;1;7;;;;;2;;1;4;;111;3;7;;;36;48;;3;3;7;7;22;;64;;1;4;1;3;;;;;1;1;3;2;3;7;2;24;3;14;;5;4;5;2;;2;;11;2;2;31;4;7;3;;1;3;1;3;1;4;;;8;;;16;4;12;7;2;1;1;14;7;5;;2;14;6;2;29;3;;14;10;5;1;11;6;3;;1;;;;2;;2;;;;1;;;1;1;;5;2;2;2;3;6;;1;3;1;1;1;7;5;16;2;6;4;1;;;2;;;;1;
31580-4429;1;5;3;2;3;;4;;1;17;8;109;4;15;2;24;103;98;9;5;4;9;3;10;;49;2;1;33;2;1;1;;;3;1;1;2;1;10;3;;50;1;29;;20;13;2;4;1;3;5;3;;;18;;5;2;2;;4;1;7;1;8;;6;7;3;2;60;2;40;26;17;13;7;13;5;;2;6;9;4;3;59;;;38;26;18;13;2;1;11;5;3;2;;4;6;2;1;2;7;5;2;;2;;2;2;3;1;1;1;1;1;;;3;2;;4;5;;13;2;5;2;;19;5;2;7;1;2;;
32577-6019;1;4;;;;;1;;1;3;;34;4;6;1;1;31;38;2;2;2;2;2;4;;23;;1;2;;;;;;;1;1;2;;1;1;;17;;7;;2;;2;1;;1;;;;;3;;;;;;3;1;3;1;3;1;;2;1;;14;;6;3;2;1;1;7;3;1;5;1;3;1;1;21;;;10;3;2;1;3;1;4;2;1;2;2;2;1;;1;1;1;1;1;;;;1;;;;;1;;;;;2;;;2;2;1;6;1;1;;;1;;1;;;;;
27973-4428;;3;;;;;;;;;;25;2;2;;;14;22;;2;2;5;1;6;1;14;;;1;;;;;;;;;1;;;;;8;2;3;1;1;1;1;1;;;;1;;;5;;1;;;;2;;1;1;1;;;3;;;4;;2;2;1;;;3;1;;;;3;1;;7;2;;2;2;2;1;2;;3;;;;;;;;;;;;1;;1;;;;;;2;;;1;1;1;1;;;;1;;2;;;;;;;1;;;;;
35999-5102;1;4;;;;;;;;2;;37;3;;;;30;29;1;1;1;6;1;6;;28;1;1;2;;;;;;;;;1;;1;3;;12;;6;;3;1;;;;;;2;;;5;;1;1;1;;3;3;;;;;;3;1;;15;1;7;2;;;;1;1;;2;1;2;1;;19;2;;11;4;1;;;;2;1;;;2;2;;;;;;;;;1;;1;1;2;;;;1;;;1;;;;1;3;1;9;1;3;2;;;;;;;;;
34876-6019;;1;;;;;;;1;3;;17;2;2;;;4;12;;4;4;4;4;7;;15;;;2;;;;;;;;1;1;;;;;4;;2;;;;;;;;;1;;1;5;;;;;;2;;;;2;;;1;;;1;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;1;2;;2;;;;3;3;;1;1;;1;4;;1;1;1;;;3;1;;;;;3;;1;;;;;2;;;;;
27769-5102;;;;;;;;;;;;22;3;1;;;13;18;;2;1;3;;3;;30;;;3;;;;;;;;;;;;2;;6;;3;;1;1;;;;;;;;;5;2;;;;;3;;;;1;;;1;;;3;;1;1;1;;;;;;;;3;2;;4;1;;1;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;;;3;1;2;;;;1;;;2;;;;;
31986-4224;1;10;1;;1;12;6;4;1;11;2;128;4;7;3;2;59;108;19;3;3;8;2;25;;38;;1;15;4;1;;2;;1;;;6;3;3;5;2;55;4;21;6;4;2;5;13;3;1;3;13;2;1;11;;5;2;2;3;4;2;2;;5;2;;14;7;3;13;1;8;3;1;1;3;16;12;7;;4;12;4;;50;12;7;10;6;2;;13;10;21;6;5;8;2;4;4;;2;2;12;4;1;1;;1;3;;;1;;;;4;2;5;2;2;1;1;3;2;12;1;2;1;4;1;;6;5;4;3;2;
30900-4429;3;10;;;1;1;6;5;1;9;1;80;3;9;4;4;84;80;4;3;3;4;4;12;2;44;;3;16;4;1;1;;;1;1;;3;;3;5;2;32;;17;;6;3;1;2;1;1;1;5;;;14;3;7;1;1;2;3;2;4;;5;3;;4;4;1;24;1;12;6;1;1;3;7;3;;1;1;2;2;;33;1;1;13;8;5;1;2;1;7;2;1;1;1;1;6;3;4;1;2;1;1;1;1;1;2;1;;1;;;2;1;1;4;3;;1;1;7;3;18;4;4;1;1;4;;5;4;;2;3;
32128-4224;1;4;;1;;;1;;1;4;3;36;5;5;1;1;8;27;1;3;3;10;2;9;;21;;1;8;;1;;;;;1;3;1;;4;2;;8;2;2;;;;;;;1;;2;;1;2;;;;;;5;1;1;;4;1;;;;;;;;;;;;1;;;;;6;;1;3;;;;;;;;;1;;;;;;3;;2;;;;1;;1;1;2;1;1;;1;;;2;1;;3;3;;;;;8;;3;;2;1;;2;1;;;;
26766-5786;1;9;;;3;17;8;1;1;14;;483;5;76;24;;277;388;1;4;4;14;3;25;2;26;1;12;41;27;1;3;10;7;1;;6;2;5;4;40;17;310;43;156;34;19;8;17;50;10;2;;13;5;2;15;5;5;4;2;17;5;3;56;23;18;12;;94;45;21;43;12;14;8;3;1;5;40;15;1;;12;101;44;2;214;59;25;34;11;8;3;29;11;69;19;8;;2;2;5;;4;1;;;2;;2;;1;1;2;1;2;1;;8;3;3;4;;3;;8;2;10;3;6;3;10;;;5;4;1;13;10;
31772-4224;1;6;2;;;2;4;1;1;1;;44;2;5;;4;12;24;7;4;3;5;2;10;1;41;;1;8;2;;;2;1;;1;;3;;1;;;8;1;2;1;;;;1;;2;2;2;;1;17;1;4;1;;;2;;4;;1;;1;2;1;;2;1;;;;;;;;;;;6;3;2;3;1;1;;;;;;;4;;1;1;;1;2;;;;5;;1;1;;2;2;;1;2;;1;;2;;2;4;;1;;1;;5;;1;;1;2;;;1;1;;2;
33483-4912;;10;6;;;1;5;1;1;4;;72;3;12;4;18;46;67;10;3;2;6;1;15;9;26;2;1;27;3;3;;1;;;1;;5;2;1;14;6;23;2;8;;1;1;1;1;;2;;9;4;;9;3;3;2;1;1;3;1;8;2;4;1;8;4;1;;7;;4;1;1;1;1;8;2;;;4;10;2;1;20;;;2;2;;;1;;5;;;4;;5;12;11;1;6;4;1;1;;;;1;;;;1;1;;8;2;4;3;2;4;1;5;1;9;;5;4;4;18;7;1;2;;1;;
35491-4912;1;9;;;4;;2;;1;3;1;84;3;9;1;1;61;72;5;7;7;15;6;18;2;32;2;1;6;2;1;2;;;2;1;1;3;1;1;4;1;20;;11;1;2;2;;2;;1;2;5;2;;14;;3;1;2;2;2;2;4;;5;;1;6;1;1;9;;6;3;2;2;3;12;11;4;;2;5;1;;36;2;;6;4;1;1;10;9;3;2;2;;1;1;1;;1;2;1;;1;1;4;1;7;4;1;1;;;3;4;;1;6;2;2;1;2;1;10;2;3;;2;1;1;1;;;;2;
27766-4429;1;6;;;;10;3;;1;4;;28;2;8;1;;6;20;;3;3;16;2;7;;26;;1;5;;;;1;;;;;1;2;1;2;;3;;;;;;;1;;;;;;;9;;;;;;2;1;1;;7;;;;;;3;;;;;;;;;;;1;1;;;3;;;2;;;;;;2;;1;;;1;;;;;;;;;1;2;2;1;1;;1;;1;;;1;2;2;1;;2;;3;1;;;1;;;1;1;1;;;
16627-6547;1;6;2;;1;1;4;;1;3;;35;2;;;;14;17;;2;2;4;2;9;;44;;1;10;4;;1;;;1;;;1;1;;3;1;4;;1;;;;;1;;;;3;;;14;1;3;;1;3;2;;;;;;;;;;5;;2;;;;1;3;1;;;;1;;1;6;;;4;2;;;;;6;3;1;;;;2;;2;;;;1;1;1;;1;;;1;;;;1;;2;1;1;1;;1;;4;;1;;;;;2;2;1;2;3;
31563-4224;1;3;1;1;4;3;9;2;1;4;2;87;3;3;;1;21;41;2;3;3;6;2;10;;68;;1;15;3;;3;;;4;1;;;4;3;2;;14;1;3;;1;1;2;4;;;;3;;1;18;;1;1;2;2;3;2;;;3;;1;6;2;;6;2;3;1;1;1;2;6;2;1;1;1;8;2;2;11;4;2;3;3;1;1;2;2;5;1;;;1;4;3;;;;;;2;1;1;;2;1;2;1;1;;;3;;;3;1;;;4;;7;1;2;1;5;1;1;;5;2;1;;
31410-4428;;1;;;;;1;;1;2;;41;5;6;1;1;16;32;5;3;3;9;3;8;;27;;;2;1;;;;;;1;;;;2;;;7;;;;;;;;;;4;3;;3;9;;2;;;;3;1;2;;4;1;;;;;3;;3;2;2;2;2;5;1;;;;5;1;2;8;;;2;2;1;1;;;4;1;;;;1;1;;1;;4;2;;;1;1;2;1;2;1;;1;2;2;1;;3;1;;1;5;2;9;4;4;1;;1;;1;;;;;
20475-5786;1;8;;1;1;;1;1;1;5;;77;4;16;3;1;46;63;2;3;3;6;2;13;;35;1;4;6;2;;1;;;1;1;1;4;1;1;3;1;33;1;18;3;3;2;1;4;1;3;1;8;;1;17;4;3;;;1;4;2;10;5;4;;;13;4;2;7;1;5;2;;;2;6;3;;1;;10;4;1;31;5;;5;4;2;;2;;6;3;1;;;4;4;;;1;1;;1;;1;1;2;1;2;1;1;1;1;3;;6;2;1;2;;9;2;8;1;;;1;1;;;1;;1;1;
31755-4224;1;6;1;1;9;2;9;;1;4;;57;3;6;;1;24;52;8;3;2;10;1;10;2;32;;1;6;2;;9;;;1;1;;3;1;3;1;;19;3;1;1;;;;1;;1;;4;1;;9;;1;1;2;1;3;1;2;1;4;;;4;1;;2;1;;;;;1;8;4;2;;2;10;6;1;15;2;1;1;;;;5;2;1;;;5;;1;2;;;2;6;3;;;1;;2;1;2;;1;;;1;1;;1;4;;;;;1;;1;1;1;;;2;1;;;;
31802-4224;;2;;2;;9;8;2;1;8;3;67;2;4;1;13;9;62;2;6;6;21;6;21;;41;;;28;1;;;2;;;;;2;2;3;3;2;23;1;;;;;;5;;2;1;4;;;7;;4;;;;2;;1;;3;;2;1;;;2;;1;;;;;;;;;2;1;1;;4;;;2;1;;;;;11;2;2;;2;2;15;7;;;;;2;2;2;2;6;2;7;2;;;2;2;1;1;5;1;1;;3;;11;1;1;;3;12;2;2;3;;;1;
30774-4428;;2;2;1;;;;;;;;153;2;8;1;6;71;120;2;2;2;2;2;4;;29;1;;47;9;2;;;;;;;;;;16;3;84;9;54;18;18;11;7;4;2;7;1;1;1;;12;1;1;1;19;7;2;1;6;3;2;1;3;40;17;12;27;14;20;14;5;1;9;18;13;3;1;10;25;9;1;67;23;10;25;19;14;5;10;7;11;4;;1;;1;9;;3;1;2;;1;;;1;;;;2;;2;;2;;;1;;;;2;1;3;;1;;24;6;2;5;8;1;6;8;
33161-5102;1;5;4;;1;;1;;;;;17;2;3;1;;11;15;1;7;6;14;6;14;;;;1;2;;;1;;;1;;;;;;1;1;6;;2;;;;;;;;;5;1;1;;;;;1;;2;1;1;;2;1;;1;;;3;;2;2;1;1;;;;;;1;;;;4;;;2;1;1;;;;;;;;1;;;;;;1;1;3;2;1;2;3;1;;2;2;;2;3;2;;6;2;3;;;;;;;;1;;;;;;;;
35547-4912;1;5;;2;2;5;5;1;1;11;;72;5;6;2;2;53;52;1;3;3;24;2;9;;37;;1;13;2;1;2;1;;2;;4;2;;6;7;1;18;1;8;1;2;1;1;;;1;;3;;1;12;;1;;;1;5;4;2;1;4;2;;4;;;15;;6;3;1;1;1;5;3;2;;4;10;2;2;19;2;;3;1;1;;3;1;;;;;;;5;;4;;1;1;2;;1;;1;1;3;1;2;1;;2;2;1;2;;1;;;;4;;1;;2;2;;5;4;2;1;1;
27965-4912;1;11;;;3;88;10;;1;6;;81;2;13;1;;61;66;;4;4;4;3;12;;39;;4;9;;;1;47;30;3;1;;5;7;2;3;1;29;1;17;;3;2;1;3;3;;;3;;;21;4;1;;;;2;1;6;1;6;;;2;;;15;;7;5;1;1;2;6;;;1;;3;1;2;35;;;9;4;3;;4;;9;8;1;;2;3;1;;;;;;1;;1;1;3;1;1;;1;1;;1;;1;4;2;;1;5;;6;1;1;;1;;;;8;3;;;
28056-4429;1;6;2;;1;;5;1;1;8;1;53;3;2;;1;14;34;;5;5;8;5;18;;29;;1;14;1;;1;;;1;1;;3;;3;3;1;18;;7;1;1;1;1;2;;;;5;2;1;10;1;2;;;1;3;2;;;2;;1;3;2;1;3;2;2;1;;;;2;2;;1;1;2;;1;10;1;1;3;2;1;;2;2;4;;;;3;2;1;;1;;;;1;1;2;1;3;2;;2;;1;2;2;1;;4;3;;1;1;1;5;;1;1;3;1;1;2;5;3;1;;
31604-4224;1;4;;1;;4;1;;1;5;2;42;4;10;5;9;23;40;1;4;4;16;3;13;1;25;1;2;15;2;;;3;2;;1;2;2;;4;3;2;22;1;8;1;2;;;;;7;;4;;2;4;;1;;;;4;1;5;2;5;4;;6;4;1;4;1;;;;;1;2;1;;;2;5;3;;13;2;1;4;;;;;;4;1;1;;;1;11;7;2;;;;1;1;2;1;4;2;1;1;;;1;2;2;;4;;;;1;;1;1;;;2;9;;3;1;;1;;
31746-4224;1;10;2;;;;2;3;1;6;;93;5;7;4;;21;47;9;6;5;8;4;19;1;52;4;1;21;2;1;;;;;;1;2;1;2;9;1;22;2;5;4;1;;;1;;6;7;7;2;3;24;1;4;1;1;2;5;2;4;2;3;1;;11;3;1;6;1;1;1;1;;;1;;;1;;8;3;;11;7;1;1;;;;1;;4;;;2;1;2;11;;4;3;5;2;2;1;1;2;4;1;1;2;1;1;;7;3;1;6;;2;1;4;;9;1;2;1;5;;;4;3;2;1;1;
31319-4428;2;6;3;;;;1;2;1;2;;46;2;2;;;7;19;8;3;3;4;2;14;2;40;;2;1;;;;;;;;1;1;;;3;1;3;;;;;;;;;;1;4;2;;16;;1;1;;;2;1;;;2;;;2;;;4;2;2;2;1;;;;;;;;;;;4;;;2;1;1;1;;;;;;3;;1;1;;1;2;5;3;2;1;;;;;;2;1;1;1;4;;;3;;1;;1;;2;;1;;;;;1;;;;;
30824-4429;1;9;;;9;3;11;1;1;11;1;138;6;26;5;;62;132;1;3;3;27;5;20;1;63;2;1;13;4;;7;;;4;;;3;2;6;4;2;79;8;29;2;5;2;4;8;;1;;8;3;1;17;2;3;;;2;6;3;17;1;9;2;;7;4;3;16;1;3;1;1;;2;10;7;2;;3;15;4;3;46;5;2;9;2;1;1;6;2;14;;1;;1;6;3;;2;;;;1;;;1;1;;7;2;1;2;1;5;2;3;3;1;1;;5;1;12;;3;2;1;;;2;5;2;1;1;
31083-4429;1;9;2;1;3;;4;;1;6;2;70;3;5;;7;43;42;4;6;6;17;5;20;3;58;;1;12;3;;3;;;3;;1;4;1;3;3;;14;;9;1;5;4;2;1;1;2;1;5;;3;24;1;7;4;1;;3;;1;;4;;1;7;2;1;30;5;20;15;8;4;3;9;6;1;1;1;5;1;;27;2;1;17;12;9;5;4;3;1;1;;2;;;2;1;;4;;;3;3;1;1;2;1;2;4;;1;4;2;1;2;4;;;2;2;1;13;;7;1;2;5;;1;2;;3;;
31727-5786;1;5;1;;;1;1;1;1;4;1;55;4;13;1;;20;31;3;8;7;9;7;14;1;28;1;1;5;1;1;;;;;1;1;;;2;4;2;13;2;3;;1;;1;;;1;2;3;2;;15;1;2;1;;;3;;8;1;5;1;;3;;;4;1;;;;;;4;2;1;;2;6;1;2;6;;;1;;;;1;1;3;;;1;1;;1;;1;;2;1;1;1;3;2;5;3;2;3;;1;1;5;;;6;1;;;1;;5;;2;1;1;;;1;;;1;;
30662-4224;;6;3;;;7;4;;1;5;;83;3;5;;1;14;36;2;2;2;7;1;11;;28;;;3;2;1;;2;1;;1;1;4;1;3;10;2;12;;4;1;1;;;1;;;1;3;;;14;1;1;;;1;3;1;1;;4;;;3;1;1;6;1;1;;;;1;2;1;;1;;7;1;;7;1;;3;;;;1;1;4;;1;;1;1;2;1;1;1;;;;;1;;1;1;2;;1;;;6;2;1;1;1;;1;1;;2;;;;1;1;;1;1;1;;1;
35950-4912;1;5;1;1;;;;1;1;4;3;69;3;7;2;3;26;41;2;4;4;8;5;11;;20;2;1;5;1;;;;;;1;1;1;;1;2;;15;1;4;;1;1;;1;;1;;3;;;6;;3;;;1;3;1;2;;4;1;2;2;1;;7;1;5;;;;1;1;;;1;1;2;1;1;11;;;3;3;;;;;7;;3;;;;1;;1;;;;1;;2;1;3;2;;;1;;1;3;;;3;;3;1;1;1;6;1;1;;;2;1;2;;;;1;
31464-4429;1;6;2;1;;33;7;1;1;1;1;54;3;11;3;1;22;46;3;8;8;8;7;15;2;21;2;1;10;2;;;3;1;;1;;3;3;1;5;1;18;2;2;;;;;5;1;1;;4;;1;4;;3;2;1;;3;;3;;8;3;;4;1;1;3;;2;1;;;;6;5;3;;3;7;3;;12;3;1;1;1;;;4;2;9;2;;;;1;3;;2;;;;4;1;1;;2;;;1;3;3;1;2;1;;4;1;1;;1;;14;1;6;1;;1;;4;3;1;;1;
31570-4224;1;6;;1;5;11;8;1;1;6;1;66;4;11;2;;37;64;6;3;3;5;2;13;;52;2;1;5;1;;3;4;2;3;1;1;;3;2;2;1;25;1;6;;1;1;;2;1;;;5;;3;11;;2;;;1;4;1;3;1;8;2;;5;1;;12;1;7;4;2;;2;4;3;;2;;4;2;;24;1;;8;3;2;1;2;2;4;2;;1;;9;;;;;3;2;2;1;1;;1;1;;1;1;;1;2;1;2;3;;;;4;2;7;3;;;;;;;;;1;;
31392-4429;1;6;;;;1;4;;1;5;;71;3;6;;;14;33;;4;4;4;3;10;;52;;1;2;;;;;;;1;;5;4;3;;;13;1;6;3;1;;;;;;;3;;1;16;;4;;;;3;3;;;6;;;7;3;2;4;2;2;;;;;;;;;;2;;;11;5;3;3;2;;;;;3;2;;;;1;1;;1;;;;2;;;1;1;;;;2;2;;1;1;1;4;;;1;2;;10;;2;;;;;1;;;;;
31826-4428;1;3;1;;;;;;1;2;;48;1;5;;;9;19;2;3;3;6;2;7;;36;;1;;;;;;;;1;1;1;;2;1;;4;;;;;;;;;;;1;;1;17;1;2;1;;;1;;1;;4;;;1;;;3;;2;;;;;1;1;;;;3;;2;4;;;2;2;;;;;;;;;;;;;;1;1;1;1;;;2;1;;;;1;1;;2;1;;3;1;1;2;1;;4;;2;1;;;;;;;;;
31031-4224;1;5;1;1;1;;2;3;2;6;1;96;6;14;7;9;62;84;8;6;6;13;4;15;2;44;1;1;14;4;1;1;;;1;2;1;3;2;2;6;;40;4;21;2;4;1;8;1;;4;1;4;;;18;2;3;2;;1;6;2;8;;6;4;2;9;4;3;9;1;1;1;1;1;1;18;8;5;;;9;;4;41;7;3;6;1;1;1;13;7;4;1;;4;1;;11;7;1;3;4;2;3;2;;2;4;;1;3;1;1;1;3;1;;4;;1;1;4;2;9;;3;1;4;9;2;1;;;2;2;
