aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
31692-4428;1;;;;;1;20;2;1;4;7;7;19;2;1;1;2;1;2;11;;1;9;1;;;2;1;7;;;;;;;1;;2;5;4;;;1;2;;;;;;2;1;;1;;;1;1;1;7;4;3;4;3;;;;;;;;;;;;;1;;;;;;1;;2;;3;1;;1;1;;;;;;;;;;1;3;;1;;3;8;7;;1;;1;;1;1;;;;;1;;1;1;1;1;;3;;2;2;1;;1;;;7;1;7;3;3;;;1;;1;;;
31836-4224;1;;;;;;50;6;4;1;5;28;47;3;3;3;19;3;13;16;;;9;2;;;4;2;26;6;12;5;;;2;;;;4;3;;;7;8;1;1;;;;6;1;3;1;3;1;1;;2;1;;;8;5;2;2;;1;;;;;;;;;7;1;2;;1;;1;;1;;9;1;1;;21;6;3;;;;;4;1;1;1;1;1;;;;8;4;2;1;1;2;1;1;1;2;;;;1;;;3;1;3;4;2;1;3;;;;;;;5;2;1;;;2;1;;;1;1;2;
32525-4428;3;;;;;8;10;2;1;;5;7;10;;;;;;1;11;;;8;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;1;;1;1;;1;;;;;1;;2;;;;1;
35709-5102;;1;1;;;;37;1;;;2;36;43;2;1;1;8;1;4;20;;;6;4;;;2;2;14;;8;;2;;1;4;2;;;;1;1;2;7;;3;;;1;1;;1;;;;;;;;;;3;;;19;2;11;6;4;4;2;2;2;1;;7;;4;3;2;1;;;1;1;1;;;;25;;;11;6;3;2;5;3;1;1;12;6;;1;3;2;1;;;;1;;1;1;;;;5;1;;1;1;;1;1;1;;5;;1;1;;;;2;;;;;2;1;1;1;1;1;3;
31636-4224;;;1;;;;39;4;2;;;41;45;3;2;1;7;1;7;16;;;14;2;;;4;1;15;;6;1;2;1;;4;3;;2;;;;1;2;;;;;1;4;;;;1;;1;;;;;;2;1;1;14;1;4;3;3;2;2;3;3;;1;9;1;;;;;;2;2;2;2;2;;;17;1;1;2;1;1;1;4;;;1;10;5;4;2;2;5;;1;;;;;;;;1;;;1;;;1;;1;3;;;1;;;;;2;1;;;;;;6;1;4;2;;1;1;
31861-4428;2;;;;;1;23;3;1;;4;13;27;7;2;2;3;2;6;12;;;7;3;;;1;;2;;;;;;;;;;;;;;3;4;;;;1;;3;;1;2;;;1;;1;;1;;1;;;6;;1;;;;;;1;;;2;;;;;;;;;;1;;;;6;;;4;;;;;;;;;;;1;2;5;2;2;1;;2;1;1;;;;;1;2;2;;1;;2;1;1;1;2;;;;;;;4;1;;1;;2;;;;;1;;
31805-4224;;;;1;;1;60;4;2;;;11;35;2;2;2;6;3;6;25;2;;5;5;;;11;4;20;3;1;;;;1;2;;3;2;;;;2;11;1;6;2;;3;4;;2;;1;;1;;;;;;1;;;5;;2;2;1;;;1;1;;;3;2;1;;;;;1;;;8;4;1;3;7;;;4;2;2;1;2;1;;;5;;1;;3;5;;;;;;;1;1;1;2;1;;1;;2;1;1;1;;7;2;12;3;3;2;;1;;;;;;;;;;;3;;;
31675-4428;;;;;;1;51;4;5;4;;34;43;3;1;1;2;1;4;18;;;19;2;;;3;1;22;1;12;2;5;2;;1;;;3;;;;1;6;;2;1;;2;4;;2;;4;;1;4;;;;;7;5;4;17;3;6;3;2;;;1;2;2;4;6;;4;2;1;1;1;2;9;8;2;;;;22;3;1;8;3;2;;2;2;;4;5;3;2;;1;5;;1;2;1;1;;;;;1;;;;;;1;;1;;1;1;4;;3;;1;2;1;;;;;;8;4;5;3;;1;1;
31759-4428;7;;;;;2;27;2;1;;13;5;21;4;;;;;;11;;1;15;3;;;;;10;;;;;;;1;;1;2;2;2;;;;;;;5;1;2;;;2;;;1;;2;1;3;2;1;;;;;;;;;;;;;;;;;;;;1;;;;3;1;;;1;;;;;;;;;;;1;;;;1;4;4;;4;2;;;;;;;;;;;;;;;;1;1;2;;;;;2;2;9;2;1;2;2;;;1;1;;2;;
30864-4428;1;;;;;1;62;3;2;1;1;22;39;1;3;3;3;3;6;25;;;11;5;;;1;;24;1;8;;1;1;;5;1;2;2;;1;;3;12;2;3;2;;3;2;;2;;1;;1;1;;;;;4;2;1;9;3;3;;;;;;;;1;1;;;;;;;;2;;4;1;1;;13;;;5;2;;;;;;;7;1;;;3;3;;2;;;;;1;1;1;1;1;;2;1;;1;1;3;;5;;6;1;2;1;;1;1;1;;;;;3;1;1;;1;3;4;
28651-4428;;;;;;;32;3;5;;;15;29;;2;2;4;2;9;8;;;;;;;;;19;;3;;;;1;3;;2;;;;;3;3;2;;;;;3;1;2;;3;1;2;;;;;;3;1;1;8;1;3;1;;;;;1;1;;4;;3;3;;;;;;;3;2;;1;9;;;6;1;;;2;1;;;5;;3;;2;;;;;;;;1;1;1;2;1;2;1;;1;2;2;;;5;1;4;2;2;;;;;;;;;;;;;;;;;
30969-4224;1;5;2;2;;1;27;3;1;;5;8;27;1;1;1;2;1;5;23;;;28;2;1;1;1;;5;;;;;;;1;;;1;;;;2;2;;;;;1;3;1;1;;;;1;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;2;1;2;1;;;3;;;1;;;;;;;1;5;1;2;;;8;4;1;1;1;;;1;1;;1;;;1;;1;1;;;;1;;1;;;;;16;3;4;;;;;2;;2;1;;1;1;
30808-4224;;3;7;8;;;51;4;3;;;36;52;18;1;1;6;1;4;20;1;;7;2;1;5;3;1;19;2;8;1;1;;3;;;;1;;4;3;2;10;1;2;1;;1;4;1;2;;2;1;1;;;;;;4;1;;11;;6;6;4;4;2;2;3;1;1;12;2;3;1;1;;4;;3;3;7;2;1;2;25;1;;5;3;3;2;8;2;1;2;1;;;6;;4;;1;7;3;13;8;1;;;;;;;1;;1;1;1;;2;;3;;1;;;2;1;;;;;;4;3;;;1;1;;
31362-4429;;22;1;;;;33;4;17;;;33;40;14;2;2;2;2;3;23;;;2;;15;;;;11;;8;1;;;1;;;;;;6;2;;8;1;4;;2;;3;;;;15;3;2;;;;;;2;1;1;5;;;;;;;;2;1;;10;;4;;2;1;1;;;;;;;;20;1;1;1;;;;4;1;1;;1;;;6;;;;;5;2;6;6;2;2;;2;;;2;;1;1;1;2;;1;1;7;;;;;1;;;;;;;;;1;;;;;
27829-4224;;;1;;;;21;3;1;;1;4;17;;1;1;2;1;5;22;;;4;;;;;;7;2;;;;;;;;1;;;;;1;7;;1;1;;;3;1;;1;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;2;4;;;;;;;;;;1;2;;;;2;2;;;;;;;1;1;;;;;1;;1;;;;1;1;;4;1;1;1;;2;2;1;;;1;1;1;;2;;;;;
33384-4428;;;;;;;2;;;;1;4;3;1;;;;;;4;1;;3;;;;;;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;;2;;;;;;1;1;2;1;;1;;;;1;1;2;1;;;;;2;;;2;2;;;;;;;2;1;1;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;1;;2;2;;;;;;
35972-5102;;;1;;;;12;3;;2;;9;11;;;;;;1;8;;;1;;;;;;3;;3;1;;;1;;;;;;;;1;3;;;;;;3;;2;;;;;2;;;;;1;;;2;;1;;;;;;;;;3;;1;;1;;;;;;;;;;8;1;;1;1;;;3;1;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;
35425-5102;;;1;;;;17;3;1;;;7;11;1;1;1;4;1;1;17;;;1;;;;1;;4;;2;;1;;;;;1;;;;;1;4;;1;;;;3;1;;;1;1;;;;;;;1;;;1;1;;;;;;;;;;1;;;;;;;;;;2;2;2;;6;;;1;;;;;;;;3;2;;;2;;;;;;1;;1;1;;1;;2;1;;;;;1;;1;1;3;1;;;;;;;;;;;;;;;;;;
31077-4428;;;;;;;38;3;2;;;23;33;;2;1;7;2;7;25;;;2;;;;;;18;2;10;1;6;1;1;1;;;1;;;;2;7;;3;1;;;2;;2;;1;;1;;;;;;9;5;2;12;2;6;2;1;1;;;1;;;4;1;2;;;;;1;;;4;2;2;;16;3;2;9;4;1;1;3;2;;;4;2;1;;1;1;;1;;;;;;;;1;;;;;;3;2;2;;2;;7;;2;1;;;;;;;;;2;;;;;;;
31444-4428;;;;;;1;42;4;5;2;;22;23;3;1;1;3;1;4;22;;;7;2;;;3;1;10;1;5;1;1;1;1;;;;1;;;;;9;1;1;;;2;4;2;2;;4;;1;1;;;;;2;;;12;1;6;3;2;1;1;1;3;1;;8;;4;;3;2;1;1;1;1;6;2;1;1;11;1;;3;2;1;;3;2;2;1;3;;;3;;4;;4;2;1;1;1;1;1;;;;;1;;1;1;;;;5;;1;;;;1;;;;;;;;5;;;;;1;;
31644-4428;;;;;;;12;3;4;;;27;23;6;1;1;1;1;2;8;;;5;;;;;;6;;3;;;;2;;;;;;;;;2;;;;;;3;;1;;3;2;1;;;;;;2;;;8;;7;6;3;2;1;;1;;1;8;1;4;1;2;1;1;;3;3;2;;;1;12;1;;2;1;1;1;4;2;2;;;;;2;;2;;2;1;;3;3;;;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;5;2;;;;;;
31952-4224;;;;;;;23;3;1;;4;18;18;;3;3;4;3;5;22;;;5;;;;4;1;7;;;;;;;1;;;;;;;2;4;;;;;;2;;;;;;1;;;;;;;;;6;;3;;;;;2;2;;;2;;;;;;;;1;;1;;;;3;;;1;;;;;;;1;2;;;;3;3;3;;;;;;2;1;;1;;;2;2;;;;1;1;2;1;2;;;;;;;4;;;;;1;;1;1;;;;
34561-5102;;;3;;;4;61;2;9;1;5;32;38;17;2;2;8;3;5;22;;;35;2;;;6;1;22;4;11;1;1;1;5;2;1;;;;3;2;3;12;1;4;1;20;2;2;;2;;9;;;1;3;1;1;1;8;4;2;3;;2;;;;;;;;;10;1;6;1;4;4;7;1;2;;7;1;;;25;5;3;3;2;;;9;6;3;;4;2;;5;;1;;;6;3;10;8;1;1;;2;;3;1;;;;;1;1;2;1;5;;1;1;4;17;7;3;2;;1;1;;;2;1;2;;1;
32508-4429;;;1;3;;;25;;1;;3;3;15;;1;1;1;1;2;15;;;3;;;2;;;6;1;;;;;;;;;1;1;;;;4;1;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;1;2;2;;;;;;;;1;1;1;;;;;;;1;;1;;2;;;;;1;;2;;1;;;;;;;;;;
35816-5786;;;2;;3;;21;3;2;;5;12;20;2;3;3;4;3;7;7;;;6;;;;2;2;9;;1;;;;1;1;;1;;;1;;2;1;;;;;;3;1;1;1;1;;1;;;;3;2;1;;;3;;1;1;;;;;;;;1;1;1;;1;;;;;;3;;;;4;1;;1;1;1;;1;1;1;;3;;;;1;2;1;;;;1;;1;1;1;1;1;;2;1;1;2;1;3;1;1;;1;;1;;;1;1;4;;;3;2;1;;3;1;;;;
31191-4429;;;2;;;;39;4;3;3;;24;33;;1;1;3;1;6;20;;;8;5;;;3;2;18;1;9;1;6;3;1;2;;1;1;;;;2;4;;3;2;;3;4;;2;;1;;2;2;;;;;4;2;1;14;1;7;3;2;2;2;3;4;3;1;5;;3;1;;;;3;2;;1;;;;18;1;;12;6;3;2;1;;;;6;5;3;;3;2;;1;;;;;;;;;;;1;1;;1;1;;;1;;9;;6;2;;;;;;;;;2;2;1;;1;3;3;
31164-4429;;4;1;2;;;21;3;3;;;9;19;1;3;3;3;3;6;12;;;;;;2;;;9;1;3;1;;;;;;;;;;;2;5;;2;;;;3;1;1;;1;;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;5;3;1;;6;2;;;;;;;;;;1;;1;1;;;;;;;1;;2;1;;1;;;2;2;;3;2;3;;1;;2;;;;;;;;;;;;;;;;;;;
35854-5102;;1;2;1;;;45;2;;;1;20;27;3;1;1;5;1;5;21;;;3;2;;1;1;;12;;6;;4;1;1;1;1;1;1;;2;2;2;8;;3;;;1;2;;1;;;;;;1;;;;2;;;11;1;2;;;;;;;;;1;;1;1;;;;1;;;;;;;15;;;10;2;;;1;1;;;4;3;;;2;3;;1;;;3;2;1;1;;;;;1;;;;;1;;;;8;;1;1;;;;1;1;;;;3;1;2;;;1;1;
29485-5786;;;;;2;;25;3;1;;;9;18;;2;2;4;2;5;12;;;;;;;3;;7;;2;;1;;;2;1;;;;;;2;8;1;;;;;3;2;1;;;;1;;;;;;2;1;;2;1;1;;;;;;;;;1;;;;;;;;;;2;1;;;5;1;;2;1;;;;;;;3;1;;;;;;;;;;;1;1;;;;;2;1;;1;;2;1;1;;1;;;;;;;;;;;;;;;;;;;
30965-4429;;;1;;;;27;2;2;;1;19;24;3;1;1;1;1;2;23;1;2;8;;;;;;6;;1;;;;;;;;2;;1;;;4;;;;1;;2;;;1;;;2;;;;1;;;;;4;;2;;;;;1;1;;;2;;;;;;;1;;;2;;;1;4;;;1;1;;;;;;;1;;;;;4;1;1;;;1;;1;1;;1;;;1;;;;;1;;;;2;;1;1;;1;;1;;;1;;3;;3;1;;;;
23060-4428;;;;;;;21;;1;;;3;12;;1;1;1;1;2;9;1;;4;2;;;;;5;;2;2;;;;;;;3;;;;;4;1;1;;;1;;;;;;;1;;;;;;2;;;1;;;;;;;;1;;;1;1;;;;;;;;;5;1;;1;3;2;;;;;;;;;;;;;;;3;;;;;;;;;;;;;1;1;;;;1;;1;;1;;;;;3;2;;;;;;;;;;1;1;1;
35968-6019;;;;;;;13;1;1;;;3;9;1;;;;;;10;;;;;;;1;;2;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;1;;;;;;;;;;2;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;
31673-4428;1;;;;;1;26;5;1;1;7;22;35;2;1;1;1;2;2;40;2;;10;2;;;2;1;7;;4;;1;;1;2;;;;;;;;5;;1;;1;;5;;3;1;;;1;1;;;1;1;1;;;13;1;5;2;1;1;1;2;3;2;2;5;;2;2;;;1;2;2;;;;;;16;;;10;3;1;;1;;;;8;1;;;4;2;1;1;;;1;1;;;1;;;;;;;;;1;;2;;10;;1;;1;;;7;;;1;1;1;;1;;;1;1;
35738-4912;3;4;1;;2;;28;3;1;1;4;20;25;7;3;3;4;3;5;16;1;;9;1;2;;7;1;5;;3;1;1;1;;;;;;;5;5;1;7;;1;;1;1;3;;3;;;;;1;;1;2;2;2;;;6;;5;5;2;1;;;1;;1;3;;;;;;1;1;4;2;3;;;1;10;2;;1;1;1;;2;;;2;1;;;2;;3;;2;2;;6;1;;;3;2;2;;;;2;1;;3;;1;;4;;1;;;1;;3;;;2;2;3;2;2;;1;;;
32891-4428;2;;;;;3;44;5;2;;28;3;38;4;2;2;6;2;5;27;1;2;32;6;;;4;2;24;1;2;1;1;1;;5;;1;12;11;;;;13;1;4;1;1;2;3;1;;2;;;2;;13;;9;3;1;;;1;;1;;;;;;;;1;;;;;;;;;1;;4;2;1;;3;1;;1;1;;;;;;;7;;1;;1;25;23;;1;1;3;;2;2;;1;;1;2;;1;1;;1;;6;;7;1;1;;1;8;4;26;11;;7;2;;;2;;1;5;3;
32619-6019;;;;;2;;6;;1;;;;4;;2;2;2;2;5;12;;;;;;;;;1;;;;;;;;;1;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;;;;2;1;1;;;1;;1;;6;1;1;1;;;;;;;;;;;;;;;;
30823-4224;6;5;3;1;;4;47;3;1;2;27;9;41;;1;1;3;1;5;18;;1;30;3;;1;3;;20;;1;;;;;4;1;;15;11;;;;6;1;1;1;1;;3;;;2;;;1;1;1;1;8;1;3;2;;2;2;1;;;;;;;;;1;;1;;;;;;2;;3;1;;;7;1;1;1;1;;;1;1;;2;5;2;;;;22;17;;;;;;;;1;1;1;;;;1;1;;1;1;2;;2;;1;;3;2;;25;1;1;7;1;2;;3;;2;1;;
12849-4224;;;1;;;;50;3;2;;10;18;40;1;1;1;3;1;6;17;;2;15;2;;;;;26;;8;3;;;1;1;;1;8;6;;;2;4;1;1;;;;3;;1;1;1;;1;;7;;1;;7;5;3;2;;2;1;1;;;;;;;5;;4;1;2;;1;;1;;;;;;14;6;3;2;2;1;1;3;2;1;1;2;;1;;1;12;9;1;;;1;1;;;1;1;1;;;;1;2;1;;1;1;1;4;;1;;;2;1;10;7;;1;;1;;;;;1;;
30618-4428;;;;;;1;93;6;15;3;;90;178;10;2;2;4;3;8;19;1;1;30;2;;;3;3;71;1;29;;7;3;7;15;6;1;6;;1;;1;8;2;3;;1;1;6;;1;2;9;2;6;1;;;;;2;1;;23;1;10;4;2;;;2;8;2;1;23;;7;1;3;;4;2;10;5;5;1;;1;62;;;14;5;2;2;14;3;1;5;49;13;12;5;4;15;;8;7;3;4;;1;1;1;1;1;;1;;1;;;2;;5;3;7;1;1;;1;1;;;;;;;14;4;6;1;;1;2;
31487-4428;;;;;;;25;4;4;2;;21;24;2;1;1;2;1;3;13;1;;9;;;;2;;11;;3;1;1;;;;;1;2;;1;;;;;;;;;4;;4;;2;;2;2;;;;;4;2;1;5;;2;;;;;1;1;1;1;1;;1;;;;;;4;;1;;;;11;3;1;2;1;;;;;;3;2;1;;1;1;3;;1;1;;1;1;;;1;1;1;;;;;;;1;;1;1;3;1;1;1;;3;1;;;;;;2;1;2;1;;;;
35751-4912;;;;;5;;38;4;2;;;34;39;;1;1;3;1;4;25;;;2;;;;3;3;23;;15;3;8;6;2;2;1;1;;;;;1;5;;;;;;3;2;1;;1;;1;;;;;;9;4;3;20;4;14;5;3;1;1;6;8;6;2;11;5;7;3;1;;;3;2;2;8;5;3;1;24;5;2;13;11;4;3;4;1;;;6;3;1;;2;;;;;;;;;;;1;;;;;;1;1;1;1;2;1;;;;;;1;1;;;;;;2;2;;;;;;
35700-5102;;;;;;;16;3;;;12;2;14;1;2;2;5;2;4;15;;;13;1;;;3;2;5;;1;;;;;;;;4;3;;;1;3;;2;;;;3;1;;2;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;1;;;;;;;;;;;;;;;7;6;;;;;;2;2;;2;;4;2;;2;1;;1;;;;3;;;;;1;;11;1;;1;1;;;;;1;;;
31525-4224;1;;;2;;2;27;2;1;;2;18;20;4;1;1;2;1;2;20;2;;18;2;;2;1;;10;;2;1;1;;;2;;;3;;;;1;5;;1;1;2;1;2;;2;;;;1;;;;1;;2;;;10;;3;1;;;;1;1;;7;1;;;;;;;;9;5;2;1;;;5;1;;2;;;;;;;;4;;;;1;7;;5;1;1;;;;;1;1;1;;;;;1;;1;;;;2;;1;;;3;1;1;;;;;10;7;7;1;;1;1;
21635-4428;;;;;;;13;2;1;1;;2;14;;;;;;;2;;;4;;;;2;1;8;1;;;;;;;;;;;;;;;;;;;;2;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;2;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1;;2;1;;;;
31181-4429;;;4;5;;1;34;2;6;2;4;32;43;17;2;2;5;2;7;13;1;;8;3;;2;1;;10;;6;2;2;;1;1;1;;1;;2;2;2;4;;1;;;1;2;;1;;5;3;1;2;;;;;6;;;8;1;2;;;;;1;2;1;;8;;5;1;1;1;5;1;;;1;;;;26;5;;6;2;;;2;1;1;;8;3;2;6;1;5;1;2;5;3;12;7;1;1;;2;;;1;;;1;;2;;3;;7;1;2;1;1;;;3;;;;;3;1;1;;2;;1;
30975-4428;5;;;2;;1;48;8;6;;4;14;45;12;3;3;5;3;5;11;4;1;12;9;;1;1;;17;;5;2;;;;;;;;;3;1;;6;1;;;4;2;8;;1;1;2;;4;;;;1;1;3;1;1;;;;;;;;;;;;1;;;;;;;;1;;4;2;;1;8;2;1;;;;;1;;;;7;1;2;1;;4;3;;;;6;1;;;3;3;3;;;;2;1;;3;;2;;1;;1;;;4;3;4;;;1;1;;;1;;;3;2;
25513-4912;1;;2;3;10;;51;3;2;;7;26;35;7;2;2;3;2;3;24;2;;11;7;;3;2;;14;1;9;1;4;2;2;1;;;;;2;2;1;14;4;2;1;;5;3;;1;;1;;1;;1;2;1;1;6;2;1;14;2;11;7;6;4;4;1;1;1;2;5;;5;3;;;4;;4;;4;1;;1;19;4;2;11;9;6;6;3;3;;1;7;2;;1;1;3;3;;;;7;4;1;1;;1;;1;2;1;1;1;1;2;;5;3;4;;3;;;;;7;1;2;1;1;;;2;1;3;1;3;
30813-4224;;;;;;;26;3;2;2;3;10;23;1;1;1;2;1;7;9;;1;5;;;;2;;14;;3;;2;;;;;;2;1;;;4;2;;;;;;3;;;1;;;2;2;1;1;;;2;1;1;5;;;;;;;;;;;;;;;;;1;;;;1;1;;;4;;;2;;;;;;;;1;;;;;4;3;;1;1;;;;;1;1;1;;;;;;;1;1;;;1;;1;1;;1;;3;1;1;;;;;;;;;;
35944-5786;1;;;;6;1;45;3;3;1;1;41;48;;1;1;7;1;4;19;;;12;1;;;;;22;;15;;9;4;;2;;1;;;;;1;7;1;2;;1;;3;;2;1;2;1;1;1;;;;;7;4;3;26;4;14;7;5;2;1;3;5;4;2;7;;5;3;1;1;;;7;3;2;;;;30;;;20;9;5;5;2;1;;4;3;2;2;;1;1;;1;;;;;1;;;;;;1;1;;1;1;1;1;2;;3;;;;;3;;1;;;;;4;1;3;2;1;;1;
23467-4429;;7;1;;;5;31;2;5;;;15;25;;1;1;2;1;6;10;;;7;;1;;1;;17;1;5;3;;;1;;;;1;;;;3;5;;4;2;4;;2;;2;;4;2;1;;;;;;6;3;3;3;;2;1;1;1;;1;1;1;;4;1;3;;;;;;1;;3;1;1;1;10;4;2;1;1;1;1;1;;;1;;;;;;1;;1;;;;;;;1;;;;;;;1;1;1;;1;;5;1;3;1;5;1;;;;;;;1;1;;;;;;
31210-4224;1;;;2;;1;34;3;2;;5;9;22;4;3;3;5;4;6;8;1;;6;1;;2;2;1;15;1;3;;1;1;;4;1;1;2;1;3;2;2;3;;1;;1;;3;1;;2;1;;1;;3;1;;;3;1;;2;1;2;1;1;;;;;;;1;;;;;;;;;;3;1;1;;5;;;2;2;1;1;;;;;5;1;1;2;1;5;4;;1;1;2;1;1;1;1;1;;1;2;1;1;2;;3;;;;3;;1;;;;;5;3;1;;;;;1;;1;;;
31742-4912;;;;;1;;7;1;2;;;7;5;;1;1;1;1;3;;;;;;;;1;;2;;2;;1;;;;;;;;;;1;;;;;;;1;;;;1;;1;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;4;;;2;1;;;;;;;1;1;;;;;;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;
15016-4428;;;;;;;12;2;;;;1;13;;;;;;;6;;;;;;;1;1;7;;;;;;;1;;1;;;;;;1;;1;1;;;2;1;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;2;1;2;2;2;2;;;;;;;;;;;;;;;;
31255-4224;1;22;4;3;;;29;3;3;;1;20;26;;1;1;9;1;3;22;;;2;;14;1;;;6;1;1;;;;;;;;;;;;;5;1;1;1;;;3;;2;;2;1;1;;;;;;3;;;4;2;2;;;;;;;;;5;;1;;1;;;;;;2;;;;7;;;1;1;;;3;;;;2;;1;;2;1;;1;;;;;;;1;1;1;2;;;;;;;;1;;7;;4;1;;;;1;;;;;1;1;1;;;;;
31747-4428;;;;;;;21;2;1;;2;9;17;;2;2;4;2;6;17;;;4;;;;;;7;;;;;;;1;;2;1;;;;1;5;1;3;1;;;2;1;;;;;1;;;;;;;;;6;;3;2;2;2;1;;;;;;;;;;;;;1;;4;;;2;1;;;;;;;;;;;3;;;;3;2;1;1;;;;;;;1;1;1;;1;1;;1;;;1;2;;7;1;2;2;;;;2;;;;;1;1;;;;;;
32071-4224;;;;2;;;45;2;1;;;29;34;1;1;1;5;1;7;8;;1;5;2;;2;1;1;19;;8;2;3;1;;1;1;;;;;;1;2;;1;;;2;2;;1;;;;1;;;;;;6;2;2;8;2;3;2;2;2;2;;;;;;;;;;;;1;;;;;;;17;3;;6;2;1;1;;;;;3;1;;;1;2;;1;1;1;;;;;1;1;1;1;;;;1;1;;1;;;4;;;;;1;1;;;;;;1;1;1;1;;2;;
30777-4429;2;;1;;;3;68;4;4;4;2;41;66;;3;3;5;3;9;36;3;4;22;6;;;5;3;30;1;6;;;;;5;1;1;1;;;;;13;1;3;1;;4;4;1;3;;3;;1;4;;;;;3;3;;5;1;;;;;;;;;;;;;;;;;2;4;;7;2;;1;20;;;2;;;;;;;3;7;1;;;2;3;;2;;;;;2;;;1;;;;2;;2;1;3;;2;1;6;1;4;2;2;3;;1;;;;;3;;1;;1;2;;
30996-4224;;4;2;1;;;31;5;9;1;;30;32;;2;2;12;2;3;16;;1;10;;;;1;1;11;;5;1;2;1;;1;;;2;;;;1;2;;;;1;;4;;2;1;8;3;1;1;;;;;6;3;3;14;3;6;3;2;2;1;;1;1;;6;;4;2;;;;;2;2;1;1;1;;16;1;1;7;4;2;2;1;1;;;3;2;1;;1;6;;6;;;;;;;;;;1;1;2;;;;;;1;1;4;;2;1;;1;;;;;;;8;3;1;;;;;
31601-4224;;1;3;4;;;30;3;1;;;19;34;4;1;1;3;1;3;14;;;2;;;2;;;14;;3;;;;1;6;1;;;;1;1;1;3;;;;;;3;;;;;;1;;;;;;;;;3;;2;1;1;1;1;;;;;1;;;;;;;1;;;1;;;;11;;;1;;;;1;;;;7;3;2;1;;;;;;;3;2;;;1;1;1;;;;1;;;;;1;;;;;;;;;;;;;;;;1;;;;;
