aluno;1>;2>;3>;5>;6>;7>;16>;17>;30>;31>;32>;41>;43>;44>;46>;48>;49>;2>2>;2>41>;2 30>;2 31>;2 41>;5>5>;6>6>;7>5>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>30>;31>30>30>;31>31>;31>41>;31 41>;31 41>30>;31 41>41>;41>2>;41>30>;41>31>;41>41>;41>41>41>;41>41>41>41>;41>43>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43 44>;44>44>;44>44>44>;
34561-4433;1;21;1;5;5;6;;;12;16;3;38;5;12;1;3;5;3;1;2;2;1;1;3;;3;;1;;1;1;1;4;4;1;4;3;1;1;;5;2;2;6;1;;;1;1;;4;2;1;6;;
42411-7297;;1;;;7;1;;;5;5;;3;;;;;;;;;;;;5;;1;;;;;;;;2;;2;;;;;;;;1;;;;;;;;;;;;
32369-4603;;5;;3;;2;;;2;5;2;31;1;3;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;3;1;1;;;;;;;1;;;
39980-6400;5;8;3;6;2;6;5;1;30;20;13;20;3;5;7;7;3;2;2;1;1;2;5;;2;13;5;5;2;2;6;4;2;7;4;4;1;2;1;1;1;1;1;5;;;;;;1;1;;1;;;
22559-5384;;2;;1;;2;;;7;4;;12;3;9;;7;3;1;1;;1;1;1;;1;2;1;;;1;1;;1;;;;;;;;;;;3;1;1;;;1;3;1;1;2;1;;
40309-6590;2;19;1;7;;5;1;3;29;29;;29;;;2;1;;1;1;;2;1;3;;3;12;7;1;;2;4;3;4;9;6;3;;5;1;;;2;2;7;3;;;;;;;;;;;
27512-4435;3;12;;3;2;1;3;;4;8;3;21;8;11;3;2;2;;2;;;2;1;1;1;1;1;;;;;;;2;;1;1;2;;;2;;1;6;;;1;2;1;5;2;;3;3;1;
31747-5799;1;3;;;;;;;;;;6;1;4;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;2;1;1;1;1;1;
40086-6590;;7;;;9;3;1;;9;13;1;10;;;;1;;;;1;1;1;;;;1;;3;1;;1;;3;3;1;2;;3;;;;;1;1;1;1;;;;;;;;;;
31453-4433;;2;;;;1;;;1;4;;14;2;5;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;6;1;;;;;;1;;;1;;
21361-4917;3;13;2;1;14;4;3;;23;22;2;33;3;10;3;1;;;1;3;3;1;1;3;1;7;1;3;2;;3;;5;7;2;3;2;4;2;2;;3;1;4;;;1;1;2;2;1;1;2;3;1;
31292-5384;1;12;;;;;2;1;7;14;;37;4;10;1;1;;;1;;;3;;;;1;;;;1;2;1;2;2;;;1;2;;1;2;;2;12;5;2;1;2;2;2;3;1;1;3;1;
30812-5490;1;10;;;22;3;;;7;14;;23;;;1;5;5;;;;;3;;5;;1;;1;;;;;2;2;;1;;;;;;;;5;1;;;;;;;;;;;
30687-4433;1;17;4;;;;4;2;14;17;1;29;5;8;1;2;;1;1;1;1;1;;;;5;;2;;1;2;;1;4;2;1;2;2;;;1;1;1;6;2;2;2;;;1;3;1;;2;;
35936-7297;4;10;1;;;;1;;3;7;1;43;5;8;4;1;;;3;;;4;;;;;;1;;1;;;1;2;;;1;1;;;2;;1;12;4;4;;1;2;3;;;2;2;;
17491-6590;;;1;;;1;;;;2;;22;;;;2;3;;;;;;;;;;;;;;;;;;;1;1;;;;;;2;2;;;;;;;;;;;;
22787-4435;1;7;4;5;;4;;;15;14;3;13;3;4;1;1;;;;;;;1;;2;5;;1;;2;;;4;3;;1;2;5;2;2;;2;3;6;3;;2;;1;;1;1;;1;;
31336-4434;5;27;;9;1;17;1;2;69;53;1;105;13;13;5;5;1;3;7;4;;8;7;;6;33;19;10;5;9;21;12;17;24;16;4;6;13;3;2;1;6;6;19;6;3;4;3;5;3;3;2;2;5;1;
34011-6402;;8;;2;1;3;;;7;9;;15;4;18;;5;8;;;;1;1;1;;1;1;;;;2;;;1;2;;;1;1;;;;;;2;;;;1;2;5;2;1;4;6;2;
40010-6400;3;19;2;6;9;5;1;2;59;48;16;133;8;22;3;4;;1;3;7;3;3;2;;1;21;8;11;6;3;13;9;15;20;5;4;4;7;1;1;3;4;4;18;5;;2;;1;4;2;1;1;4;3;
31746-4434;1;13;;1;6;2;1;;5;6;;29;4;9;1;;;;1;;;3;1;;1;;;;;;1;;3;2;;;1;2;;;1;;1;7;3;1;;;;;1;;2;;;
36058-5490;3;22;;;30;4;;;4;4;;26;6;7;3;3;;2;3;;1;3;;9;;1;;;;;;;;2;1;;1;;;;1;;;3;1;1;;1;4;2;2;1;;2;;
27129-7297;1;5;;2;;1;;;;1;;12;;;1;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
40640-6402;1;21;;2;;2;;;6;3;;12;4;3;1;;;1;;;;2;;;;1;;;;1;;;1;1;;;1;1;;;;;2;1;;;;;;1;2;;2;2;;
30696-4435;;6;;;;;1;1;6;8;;9;;;;;;;;;1;1;;;;2;1;;;1;1;;3;1;;;1;2;;1;1;1;1;3;2;;;;;;;;;;;
28835-4435;;;;;15;3;;;2;2;;;;;;5;;;;;;;;2;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;
31316-5490;2;11;;1;;3;;;2;6;;22;;3;2;;;;1;;1;;1;;1;;;;;;;;;1;;;;2;;;1;;1;3;1;;;;;;;;;;;
22700-5489;1;3;;2;;1;;;;;;9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;;;;;;
44049-6590;1;7;;;14;3;1;1;6;11;;32;;;1;;2;;;;2;;;2;;1;1;5;2;;1;1;;3;1;;1;1;;1;;;;7;4;1;;;;;;;;;;
31136-5799;1;8;;5;5;7;;4;32;28;1;25;6;18;1;7;2;1;;2;1;1;3;1;;11;4;1;1;4;10;4;1;9;3;;1;3;;;1;;2;10;2;;;1;1;2;2;1;1;6;4;
30834-4435;4;10;;3;;2;3;3;9;34;;30;2;6;4;12;;;;;1;1;1;;1;1;;1;1;;1;;;5;;6;3;4;;;2;;3;4;3;;1;;;1;1;1;1;1;1;
38021-5489;3;4;4;6;;4;;;7;1;;8;1;1;3;1;;;;;;1;2;;2;1;1;;;;;;1;1;;;;;;;1;;;;;;;;;;1;1;;1;;
35864-5384;1;12;5;1;;1;1;3;15;12;3;11;2;10;2;1;;;;3;2;2;1;;;4;2;2;;;4;2;;5;3;2;;1;1;;1;1;3;2;1;;2;1;;1;2;2;1;4;2;
31801-4603;;2;;1;1;3;1;4;11;14;;10;;;;;;;;;;1;1;;1;2;;1;1;;1;1;;6;1;;;1;1;;;1;1;4;2;1;;;;;;;;;;
31295-4433;1;13;1;;;;2;;11;11;;16;4;9;1;;1;;;;1;1;;;;3;2;;;1;4;2;2;2;1;;;1;;;1;1;;3;;;;1;2;1;2;;1;1;;
36413-5489;;2;;1;3;2;1;;2;3;1;8;;;;6;5;;;;;;1;;;;;;;;;;;1;;1;;;;;1;;;2;;;;;;;;;;;;
30492-6030;1;6;;2;;1;1;;3;13;;10;1;;1;;;;;;1;2;;;;;;;;;;;;1;;1;;3;;;;;;2;2;1;;;;;;;;;;
26940-4917;2;6;;1;;1;;;;2;;25;7;21;2;1;;1;2;;;;;;1;;;;;;;;;;;;;1;;;;;;2;;;;;;1;6;2;2;7;;
20796-4435;1;3;2;;5;2;;;20;16;;42;1;4;1;1;;;1;2;1;;;;;3;;4;1;4;9;1;9;2;;3;4;7;;2;;2;5;9;5;2;1;;;1;1;;;;;
36444-5490;2;16;;;;;;;3;5;;23;13;19;2;2;2;1;;;2;1;;;;1;;;;;1;1;1;3;1;1;1;1;1;1;1;1;;8;5;1;;1;1;2;6;3;6;9;3;
39719-6401;5;22;2;9;52;14;;;6;16;3;44;10;20;5;10;;2;1;2;2;4;4;15;1;2;;2;;1;;;1;2;1;2;1;6;;1;;;2;6;2;1;1;1;2;3;3;2;1;6;2;
31311-6030;1;6;;;;1;;;8;6;;13;5;11;1;;;;;1;;;;;;2;2;;;;2;;;3;1;1;;;;;;;;3;;;1;1;2;5;2;1;3;3;1;
27706-4435;4;23;;1;;4;;;13;13;;39;4;;4;15;;2;2;2;2;8;;;;2;1;2;;1;2;;;4;1;3;2;2;;1;3;;2;9;3;2;4;;1;;;;;;;
31694-5384;1;5;1;5;2;4;;;2;9;;19;;;1;;2;;;;;;1;;1;;;;;;;;;2;;;2;2;;1;2;;1;1;;;;;;;;;;;;
36543-5384;5;15;2;;;;2;;;3;;8;7;8;5;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;1;;2;;
31589-4435;;2;1;;;1;3;4;16;23;2;21;2;2;;1;;;;;;;;;;2;1;2;2;1;2;;5;7;1;2;3;4;;2;;1;2;5;;;1;;1;1;1;;;;;
36159-5490;3;23;3;;;4;4;5;26;26;;42;5;4;3;1;;5;8;7;4;8;;;;9;1;2;2;2;4;2;7;13;5;1;1;3;1;1;6;1;3;15;4;;3;2;2;4;;;;2;2;
31447-4435;4;15;5;5;;6;1;;18;15;;38;10;13;4;2;10;2;;2;2;2;2;;2;3;3;2;1;2;4;1;4;4;2;1;;4;;;;;;7;1;1;;1;1;1;7;5;1;5;4;
44065-6402;3;8;3;5;7;7;1;;13;13;4;52;17;29;3;;1;1;1;1;;2;;1;1;5;3;2;2;1;3;2;3;6;;;;1;;;1;;1;12;7;3;3;4;4;3;10;1;5;11;3;
37609-5489;4;7;3;;4;1;;;3;2;;15;1;2;4;5;3;1;1;;;;;1;;;;;;;;;1;1;;;;1;;;1;;;;;;;;;;1;1;;2;1;
31952-5490;2;6;;1;8;3;;;5;6;2;15;3;1;2;17;;;2;;;2;1;4;;;;3;2;1;;;3;3;;1;3;4;2;3;2;2;3;7;4;2;1;;;;1;1;;1;1;
36758-5799;1;6;;;;;;;4;7;;17;2;6;1;;;;;;1;1;;;;1;;;;;1;1;;4;;;;;;;1;;;;;;;;;1;1;;1;1;;
35920-5490;3;16;1;10;;7;1;;18;33;;48;6;14;3;;3;2;3;4;2;4;4;;3;3;;6;2;2;5;1;6;6;;8;6;12;2;3;3;2;7;10;3;;;1;3;6;;;3;3;;
42004-6402;1;4;;;3;3;1;;10;32;;14;;;1;4;;1;;;1;;;;;3;1;1;;1;2;1;2;6;2;2;1;2;1;;2;3;3;1;1;1;;;;;;;;;;
