aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
35699-5489;;4;;;8;1;;11;;1;;4;2;;11;;4;9;;;2;;;;;;;;;;;;;;;;;;;3;2;1;;;;1;;;;;;1;;;;;;1;;1;;;;;;5;;4;;;;1;;;;;;;1;;;1;1;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;5;;;;;;;;;;1;1;;;;;4;1;3;;;;;2;1;1;;;4;;;;;;;;;;;;;;;;1;;;
35491-5490;2;6;1;1;13;4;;36;;;2;11;12;;37;1;4;2;;2;8;;;1;;1;1;;;1;1;1;;;;;;1;1;3;1;1;1;1;1;;;3;;;;4;1;1;2;1;1;2;;2;2;;;;;16;;5;1;;;;;;;;;;;3;;3;1;1;2;;;1;1;;;6;2;1;1;1;;;;;;1;;1;;;;;;2;;2;11;;;5;2;1;1;;;;1;1;;;;1;2;1;1;;1;1;;1;;;;;1;;;1;;1;;;;;1;;;2;2;1;1;;;
27760-6895;;1;;3;;2;;12;;;;2;5;;8;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;1;;;;1;;;;2;1;1;;;;3;;1;;;;;;3;;2;;;;;;;;;;;;;;1;1;;;;1;;;;;2;;1;1;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32377-4433;;;;1;;1;;;;;;1;2;;4;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32035-5384;1;6;2;;;1;;26;1;;;14;15;2;27;;4;6;;1;;1;;1;1;1;1;1;2;;;;3;;;;;;;;;;;;;;;4;;2;;;;;2;;;8;;4;;;2;3;;7;;1;;;;;;;;;;1;;1;;7;6;3;2;2;;;;;;10;;5;4;3;2;2;3;1;1;3;2;;1;1;1;2;2;1;;1;11;;1;3;2;1;1;;1;;2;1;1;;;1;3;;3;1;;;;2;1;;;;5;2;1;;;;;;;;;;1;;;;;;1;
35908-5799;;1;;;;2;;6;;;;2;2;;4;;3;4;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;1;1;;1;;1;;;;2;1;1;;;;1;;;;;;;;1;1;1;;;;;1;;;;;2;1;1;;;;;;;;;;;;;;1;;1;;1;2;1;;;;;;;;;1;;;;;;2;;2;;2;1;1;1;1;;;;3;;;3;;1;;1;;;;;;1;;;;;;
31673-4434;2;13;;2;;2;;50;1;;;6;8;1;51;5;9;14;4;2;3;;2;;;;;;3;;2;;2;2;2;2;;;2;;;;2;2;;;;5;;;;2;2;2;3;;;3;;2;;1;;;;11;;3;;;;1;1;1;1;1;;1;;1;;2;1;1;1;1;2;;2;;1;5;;2;1;1;;;;;;;;;1;;;;1;3;;3;16;;2;7;3;1;1;1;1;1;3;2;;;;;8;;4;;2;2;1;1;;;1;1;6;1;;4;1;2;1;1;1;2;2;2;;;;;1;;;
13346-4434;;1;;;;;;5;;;;2;3;;7;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;1;;1;;;;;2;1;;2;1;1;;;;;;;;;;;;;;
32029-4434;;1;;;14;1;;15;;;;;;;20;;2;4;;;3;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;5;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;6;1;;2;1;;;;;;;;;;;;2;;1;;;;;;;;;;2;;;;;;;;;;;;;1;;;2;;;
35751-5490;;1;;;;;;6;;;;;;;3;;1;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
