aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
36347-5799;1;17;5;;;3;;42;;;1;8;10;6;16;;5;7;2;1;3;2;1;;;;;;;2;3;1;1;1;1;1;1;4;;;;;;;;;;11;2;;;;;;3;;;2;;2;;;1;;1;9;1;2;;;;;2;2;;1;1;;;2;;;;;4;2;1;;1;;;6;2;;;;3;1;;;5;;;1;3;4;2;1;2;1;;1;4;;;;;;;;;;1;;;;;;5;2;1;;;;;2;1;;;;2;;;;;;;;;2;1;1;;2;1;;;1;;
30982-4435;;7;;4;20;3;;8;;;;2;3;;16;;2;2;;;2;1;;;;;;;;;;;2;;;;;;2;9;4;2;2;;;;;1;;;;;;;;;;1;;1;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;1;1;1;;1;6;;;;;;;;;;1;1;1;;;;2;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
35700-5489;2;18;;;3;4;;91;3;6;1;39;40;2;84;;19;43;;2;6;2;1;1;1;1;1;1;2;;1;1;4;;;;;;;1;;;;;1;2;;6;;;;1;;;1;;;16;1;12;1;4;1;;;35;1;8;3;;;;6;4;;;1;2;6;13;3;10;3;;3;2;2;5;2;;2;27;7;9;2;;1;;2;2;1;2;1;2;;2;1;3;6;8;;4;27;2;6;12;4;2;2;2;3;3;6;5;1;1;;2;14;1;1;;1;1;;7;4;1;2;1;5;2;1;3;2;1;1;;;;1;1;1;;1;4;1;;1;
12626-7114;1;5;;2;;4;3;21;2;;;1;5;3;16;;2;2;;1;10;;1;;;;;;;;2;1;;;;;;;;;;;1;;;;2;2;1;;;1;1;;;;;1;;;;;;;;4;;2;1;1;1;;;;;;;2;;;;;;;;;;1;;;;1;;;;;;;2;1;;;;1;;;;;;1;;;3;;1;1;1;1;1;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;2;;;
30969-5799;;;;;4;7;1;14;2;;;8;8;1;13;;3;5;;;3;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;3;;;;;;3;;2;1;;;;;3;;2;;;;;;;;1;1;2;;3;;1;1;;;;1;;1;;;4;2;;;;;;2;;;;;;1;;;;;2;;1;4;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
31743-5061;;7;2;;;1;;48;1;;;12;15;6;58;;16;17;1;;1;;;;;;;;;1;3;2;1;;;;1;2;;;;;;;;1;;3;2;1;;1;;;3;;3;2;;;;;;;2;20;1;8;5;2;1;1;4;3;3;;;1;;2;1;;;;4;2;;;2;;;11;2;;;;4;2;;;3;;;1;1;4;4;3;2;2;;2;17;;;8;3;2;1;1;1;1;3;3;1;1;3;1;11;1;7;;4;2;1;1;1;;;;8;;;5;;3;;2;1;1;;;;;;1;;;;
28198-5490;1;4;;;26;5;;14;1;;;3;5;2;10;;3;2;;1;1;;;1;1;1;1;1;;;;;2;;;;;;;9;7;3;;;2;1;;3;;;;3;;;;;;2;;1;;;;;;1;;1;;;;;;;;1;;1;;;;1;;;;;;;1;1;;3;;1;;;;;1;;1;2;1;;1;1;;;;1;;1;4;;;;;;;;;;;;;;;;2;;1;;1;1;1;1;;;;;1;1;;1;1;1;1;1;1;;;;1;1;;;;;;
36350-5799;;10;5;1;;1;2;42;3;1;;13;27;11;30;2;3;2;1;1;2;;;;;;;;;1;;;3;;;;5;1;1;;;;1;1;;;;1;;5;5;;;;4;;1;9;3;2;;;1;2;8;11;1;3;2;;;;1;1;1;;;2;1;2;;4;2;1;5;3;;1;9;;2;11;1;2;;;3;2;5;2;;;;1;;9;2;1;;1;1;;11;;;6;3;1;;;;;;;;;1;;2;;1;;1;;;1;;;;;1;1;;1;1;;;;;;;;;;;;;;;
23182-6895;;2;;1;8;3;;6;;;;;1;;1;;;;;;1;1;;;;;;;;;;;;;;;;;1;4;1;;1;1;;;;1;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;
35751-5799;1;9;2;;;1;1;30;;1;;10;12;;31;1;2;2;;1;4;1;;1;;;;;;;1;;;;;;2;;;;;;;;;;;3;;;;;;;5;2;1;3;;;;;;2;;5;1;;;;;;2;2;;1;;;1;3;;2;1;1;2;2;1;2;1;1;;9;2;1;1;1;;;2;2;;;;;;;;1;1;1;;1;2;;;;;;;;;;;;;;;;2;;1;;1;;;1;;;1;1;1;1;;1;1;;;;;;;;;1;;;1;;;
31755-7114;;1;;;12;3;;12;;;;1;;;6;;3;5;;;1;;;;;;;;;;;;;;;;;;;3;3;1;;;;1;;1;;;;3;;;;;;;;;;;;;;4;;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;3;1;;;;1;1;1;1;1;;;;2;;2;;;;;1;1;1;;;4;1;1;;;;;;;;;;;;;;;;;
31836-6401;2;17;6;;3;1;;46;2;;1;13;13;2;50;;8;22;1;2;9;4;1;1;1;1;1;1;1;4;2;1;1;1;1;1;4;3;;2;2;2;;;;;;6;2;1;;1;;;1;;;4;;3;1;1;;;;20;;6;3;3;1;1;2;2;1;;3;2;;2;;4;2;2;2;1;2;1;2;;1;9;1;3;1;1;1;;1;1;1;1;1;;1;;;4;2;2;;1;17;;2;6;6;2;2;2;2;2;5;4;1;;1;;7;1;2;;1;;;3;1;;1;1;9;2;1;3;1;2;1;1;;;1;1;1;2;1;;;4;1;
36259-6590;1;5;2;;;2;;31;;;1;7;9;;42;;9;25;;1;6;1;;1;;;;;1;;1;;1;;;;1;;;;;;;;;1;;1;;2;1;;;;2;;1;4;;3;;;;1;;11;;5;1;;;;2;1;;1;;;;3;2;3;2;;;;2;1;2;1;1;6;;2;1;;;;1;1;;1;1;2;;;;4;;2;1;;18;2;1;4;2;1;1;;1;1;2;2;2;1;2;1;6;1;4;1;2;2;2;5;2;1;;;10;3;2;6;2;6;2;5;3;;;;;;1;;1;;;
30965-4433;4;10;2;2;9;6;;20;;;;3;3;1;32;;1;1;;4;1;;1;4;4;1;1;1;1;2;;;2;;;;2;;2;3;1;1;1;1;1;;;2;;;;2;;;1;;;1;;;;;;;;6;;1;1;;;;;;;;;;;;;1;;;;;1;1;;;;2;;1;;;;;;;;;;;;1;1;;;;;;11;;;5;4;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;1;1;4;;;;;;;
31359-4435;1;4;;;5;3;;20;1;;;2;7;;14;;4;6;;1;1;;;;;;;;1;;1;1;1;;;;;;;;;;;;;1;;2;;;;1;;;1;;1;3;;;;;;;;5;;3;2;2;1;;;;;1;;1;;;;;;;;;;;3;1;1;1;;;;;;;1;;;1;1;;;;;;2;1;1;;7;;1;5;3;2;2;2;;;1;;;;1;1;2;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;
32045-4434;2;14;4;1;15;7;5;109;1;;;24;26;6;63;4;10;10;1;2;22;12;1;1;;1;1;;3;1;6;1;1;1;1;1;1;3;1;;;;1;1;2;3;3;7;3;3;1;1;1;1;9;;1;14;1;9;2;3;1;1;3;34;2;12;6;2;2;1;1;;;6;9;1;;4;;8;4;;3;1;1;;7;1;3;16;2;6;4;;2;1;3;1;;3;2;1;3;3;1;1;3;7;4;3;23;;2;15;8;5;4;1;5;5;7;7;6;6;1;1;10;1;7;1;7;4;3;6;3;2;;;7;5;3;7;4;4;2;3;2;1;1;1;;10;;3;3;8;2;
36066-6030;1;2;;;;;;11;;;;1;4;1;8;;1;3;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;;;3;;1;;1;;;;4;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;1;1;;;;;;1;;2;;;2;;;1;;;;;;;;;;;;;1;1;;;;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;
14770-5489;2;7;4;;;;;17;;;;1;3;2;15;1;4;5;2;2;1;;2;;;;;;1;2;4;3;;1;1;1;4;1;;;;;;;;;;2;1;3;3;;;;1;1;;;;;;;;;1;8;1;3;3;2;1;;1;1;1;;;;;;;;;;;;;;1;;1;1;;;;;;;1;;;;;1;;1;1;2;;1;1;;4;2;;4;2;2;1;1;2;1;2;1;;;;1;3;;3;;1;1;;2;;;1;1;4;1;;2;1;2;1;1;1;;2;2;;1;;;;;;
31316-4434;;6;;;;;;17;;;;1;1;;7;;4;2;1;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;4;1;;;;;;1;;;1;;1;;;1;;;5;;3;1;1;;;2;1;1;;;;;;;;;;1;1;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;3;;;1;1;;;;;;;;;;1;1;1;;1;;1;1;;1;1;;;;2;1;1;2;1;1;;;;;;;;;;;;;;
31488-4917;;1;;;2;2;1;15;;;;;6;;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;1;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36099-5061;1;14;3;1;;3;1;43;;;;8;11;;30;1;10;20;5;1;4;2;;1;1;1;1;;1;;3;;;;;;;1;1;;;;1;1;;;;6;;1;;;;;4;;2;7;;3;;2;;;;16;;5;3;2;1;1;3;3;1;;1;;;;;3;2;;;;1;1;1;;;6;;2;2;;;;;;;2;1;1;;;;1;2;1;1;;11;;1;5;2;1;;;;;3;3;;;1;1;9;2;4;;3;3;2;4;2;1;2;2;7;4;2;4;3;4;2;2;2;4;;;1;;;1;;2;1;
31256-5061;;6;4;4;;4;1;28;;;;19;19;1;18;;2;6;1;;2;;;;;;;;;2;1;;;;;;1;2;4;;;;4;4;;;;3;1;2;;2;2;2;4;;1;8;;7;1;;3;1;;10;;4;2;1;;;1;1;1;;;;;6;1;2;;;7;7;;1;;;;17;5;;;;6;6;2;2;;1;1;;;1;1;1;3;1;;1;6;1;;2;1;;;;;;;;;;;;1;1;1;;;;;1;;;1;1;1;;;;;;;;;1;;;;;;;;;;
32892-5490;1;14;2;;;2;;46;;2;;28;19;;29;;5;4;1;1;4;3;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;5;1;1;;2;;;;;;5;;4;;3;;;;10;1;6;2;2;2;;;;;;1;;2;6;1;14;6;4;;;;1;2;;2;13;;8;2;2;;;1;1;;2;1;1;;;;2;;6;1;4;14;2;4;5;3;3;2;2;;;1;1;;;;1;4;;3;;2;2;1;1;;;;;3;1;;2;1;2;1;1;1;1;1;1;;;;1;1;2;2;
27760-4434;;3;;;;;;11;1;1;;4;7;;9;1;3;2;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;3;;2;;;;;3;1;;;;1;1;;;3;1;1;1;;;;;;;1;;1;;;;;;;;1;;;;;;1;;1;;;4;1;1;1;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23668-5490;1;7;;2;9;1;;16;;;;2;2;;20;2;2;3;1;1;;;;1;1;1;1;1;;;1;1;;;;;;;1;3;;;1;1;;;;4;1;;;1;1;1;;;;;;;;;;;;4;;1;;;;;1;1;;;;;;1;;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;5;;;1;1;1;;;;;;;;;;;2;;1;;1;1;;1;;;;;1;;;1;;1;;;;1;;;1;;;;;;;
35698-6030;;2;;;8;1;;7;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;;;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15016-4433;;3;;;;;;12;1;2;;8;6;;8;;3;3;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;4;;4;;2;;;;5;;3;3;1;;;3;3;1;;;1;2;1;;3;2;1;1;1;2;;1;;1;6;1;3;2;1;;;;;;;;;;;;2;;1;;1;4;2;;3;1;;;;1;1;2;2;;;;1;3;2;1;;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;
31437-6590;;;;2;1;2;1;11;1;;;3;5;2;13;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;1;1;;1;;;1;;1;1;;;;1;6;1;1;1;;;;;;;;;1;;2;;;;;1;1;;;2;1;1;3;2;;;;1;1;;;;;;;1;1;1;;1;2;2;;4;;1;3;2;;;;;;1;1;1;1;;;1;;1;;1;1;1;1;;;;;1;1;;1;1;1;1;1;;;;;;;;;;;;
22612-4603;1;6;3;;;1;;13;;;;;3;1;10;;2;;1;1;;;;1;1;;;;1;1;1;1;;;;;2;;;;;;;;;;;2;1;1;;1;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;1;;;;1;1;;2;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
33695-4434;2;34;1;4;2;4;;78;1;;4;7;9;1;56;;9;10;1;2;8;;1;1;;1;1;;3;1;6;4;3;;;;1;;;1;;;3;;1;;;23;2;;;2;2;;17;4;1;4;1;2;;;;;;24;1;10;4;2;;;3;3;3;2;;1;;2;;2;;;;;;;2;1;1;5;2;;;;;;;;1;1;;;;;;2;1;3;;1;23;;1;10;4;;;;2;1;3;1;1;1;;1;7;;6;1;6;6;3;3;2;1;1;1;9;3;2;8;2;7;2;3;2;;1;1;;3;4;;1;;;
26940-4435;7;45;13;1;18;10;1;141;2;1;;18;29;2;127;1;20;25;2;7;5;;;6;5;6;6;5;2;3;16;1;2;1;1;;4;5;1;12;8;6;1;1;;1;1;25;9;6;2;5;;;14;1;4;10;1;5;1;1;2;3;1;45;;21;8;4;3;1;5;4;4;2;;1;1;6;1;4;1;;5;1;1;;7;1;3;13;3;4;1;;3;1;8;3;1;8;3;1;2;;;5;2;4;1;2;48;3;4;17;6;5;4;2;3;2;6;5;2;1;;3;16;1;8;4;4;3;1;9;3;1;4;3;12;8;2;7;4;5;3;1;1;;1;;5;2;;1;;;;
28173-4433;2;9;;1;;1;;33;;;;12;10;;31;;5;7;1;2;5;1;1;;;;;;3;;3;1;1;2;2;1;;;1;;;;1;1;;;;1;;;;1;1;1;2;;;4;;2;1;1;;;;11;;4;1;1;;;2;;;1;1;;;1;1;3;1;;;;1;1;;;;8;1;3;1;;;;;;;1;;;;;;1;2;;;;9;1;;3;1;;;;;;;;;;1;1;2;;2;;2;2;;;;;;;3;;;2;;2;;;;;2;1;;3;;1;;;;
31526-4435;1;2;;3;;2;1;13;;;;7;5;;18;;;;;1;;;;1;1;1;1;1;;;1;1;;;;;;;3;;;;2;2;;;1;;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;1;;;;;;;1;2;;1;9;;1;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
16014-6590;1;2;1;;;1;;14;;;;;;3;11;;;;;1;1;;1;;;;;;;;;;;1;1;1;;;;;;;;;;;;1;;1;;1;;;1;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;2;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
