aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
40116-6030;1;12;;;18;3;;76;1;;;7;10;;20;6;7;;1;8;2;;1;1;1;1;1;;1;;;;;;;2;;;;;3;;;9;1;;2;;;1;;6;;4;;1;;1;;;12;5;3;1;1;3;3;;;2;1;;1;;;1;1;;2;1;1;1;1;1;1;;1;;;6;;2;1;1;1;1;1;;2;2;;;1;;;1;3;;;8;;4;;2;;;;3;;;;3;;;;;;1;;;;2;1;;1;1;1;1;1;;;;1;1;;1;2;;
35816-5799;1;2;;;1;1;;12;;;2;;5;2;8;;;;1;2;1;;1;1;1;1;1;1;2;;;;;;;;;;;;1;;;1;;;1;;;;;2;;;;;;;1;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;2;1;;1;;2;;3;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;
36637-5489;1;6;;3;;6;;48;2;;;11;15;1;71;10;11;3;1;3;;;;;;;;;1;;;;;;3;;;;3;3;;1;;3;1;;2;1;1;14;2;6;;4;;2;;;2;;15;4;1;1;;5;5;4;2;;;;2;1;;;;;6;;2;2;2;1;1;;1;2;1;8;;4;;;;1;1;;2;;2;2;1;1;1;1;2;3;2;19;2;6;1;4;2;2;1;2;;;1;7;1;6;3;2;1;3;1;2;2;8;2;1;3;1;2;1;1;;1;;;1;1;;;;
31384-5061;1;5;2;1;;1;;10;1;1;;8;8;;6;;;;2;1;;1;;;;;;;2;;1;1;1;2;1;;;;1;1;;;;2;1;;;;;;;2;1;2;;;;;;;2;;;;;;;;;;;;;;1;3;;;2;;2;1;1;;;;1;2;;7;1;2;2;1;1;;;;;;;;1;;;;;4;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;;;
35972-5489;1;2;;;;;;18;1;1;;6;7;;10;5;12;;1;2;;;1;1;1;1;1;;1;;;;;;;;;;;;;;;1;;;;;;1;1;2;;;;;;;1;;5;2;1;;;;;;;;;;1;1;1;;;;;;;;;;;;;2;;2;;;;;;;;;1;1;;;2;;;1;;2;;3;1;1;;;;;;1;1;1;;5;;3;1;;;1;;;;5;1;;1;;;;;;;;1;;1;;;;
32380-4434;3;10;5;4;1;5;6;52;5;1;6;27;24;13;48;11;18;3;5;9;2;2;1;1;;;;;1;1;2;2;2;1;3;1;;;3;3;1;1;4;4;;1;1;1;1;2;1;6;;2;;1;1;;2;6;15;3;2;;1;2;2;2;1;1;1;1;4;;1;2;;1;17;1;12;8;5;2;2;;4;2;;14;;11;9;6;3;1;1;;3;1;;;3;9;6;;;1;1;11;;5;;1;1;1;;2;1;1;;8;;6;4;3;1;1;1;;;10;1;1;6;1;3;1;1;3;2;2;1;1;4;1;2;1;
31787-4434;2;7;8;;5;3;3;17;;;;1;;2;5;2;;2;2;3;;;1;;;;;;1;;1;1;;3;;3;1;1;;;1;1;3;;;7;;;;2;;;;;;;;;;;3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
18398-5384;2;7;;1;17;3;;34;3;;;14;16;;23;3;11;1;2;;;2;;;;;;;1;1;1;1;1;;1;6;3;1;1;1;2;;;6;;;2;1;1;;;6;;2;;1;;;2;;8;;;;1;;;;;;;;3;2;;4;;;6;1;2;2;2;1;;;;5;1;8;1;3;1;1;1;1;;;3;2;2;;;;;;;;;3;;1;;;;;;1;1;1;;3;;1;1;1;1;3;2;;;4;3;2;3;3;3;3;1;1;2;2;;;;;;;
36057-7297;1;3;;;;1;1;23;;;;3;4;;19;2;2;;1;;;1;;;;;;;;;1;1;1;;;;;;;;;1;1;2;;;;;;6;4;2;;1;1;;;;;;10;2;;;;;;;;;;;;;;2;;1;2;1;;;;;;;;;;3;1;2;;;;;;;;;;;;;;1;;1;1;2;;;;;;;;;;;;2;1;1;;;;2;1;;;1;1;;;;;;;;1;1;;;;;;;
41590-6590;1;4;;;1;2;;12;;1;;5;6;;14;3;3;;1;1;;1;;;;;;;;;1;1;1;;;;;;;;1;1;;2;;;1;;;1;1;5;1;4;1;1;;1;;;2;;;;;;;;;;;;;;1;1;;1;1;;;;;1;1;1;1;2;;5;1;1;;;;1;1;;;;;;;;;;;;;2;;;;;;;;1;1;;;2;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;
22525-4435;2;10;7;;;;;13;;;;;1;;1;;;;2;;;1;1;;1;1;;1;1;;1;1;1;6;;;;;;;;;;1;;6;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
34561-4433;1;11;1;7;1;8;2;68;5;5;;20;25;12;29;5;6;2;1;16;2;;1;1;1;1;1;;2;1;;;;;5;;;;6;5;1;;;8;2;1;6;3;3;3;1;15;;8;;;;2;1;3;17;4;2;2;1;3;2;1;1;4;2;;5;2;5;5;;1;1;;;;;6;2;;;5;;13;2;1;;;;3;1;;2;1;;;2;6;3;1;1;3;;11;1;5;;4;1;1;;1;1;1;;4;1;3;3;3;1;1;1;;;4;;;3;;3;;1;1;;;1;8;1;2;2;;
42411-7297;1;3;;;;;;14;;;;;2;;3;;;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;;2;;;;;;4;1;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
32369-4603;1;3;;;;1;;24;2;;;;8;1;22;1;1;;1;3;1;;1;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;1;3;;;;;;;1;;9;3;2;;;;;;;;;;2;1;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;1;;1;;;1;1;3;;7;;3;;1;1;1;;1;1;1;;1;;1;1;;;1;;;;1;1;;1;1;;;;;;;1;1;;1;1;1;
32508-4448;1;8;1;1;7;3;1;31;1;;2;2;6;1;18;8;22;;1;5;;;1;;1;1;;;1;;;;;;1;2;2;1;1;1;;1;;5;1;1;3;;;2;;1;1;;;;;;;;6;1;1;1;1;4;4;2;1;;;;1;;;1;;;1;1;1;;;;;;;2;1;1;;;;;;;;;;;;;3;;;1;1;;;3;;2;;2;1;1;;1;1;;;6;1;3;2;1;1;1;;1;1;6;;;3;;2;;1;;;;;;;;;;
