aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
32030-7297;2;5;;;;1;;16;2;;;4;8;;17;;;;;2;;;;2;2;1;1;1;1;;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;6;;;;;;;;;;;2;2;;2;1;2;;;;;;;;2;1;;4;1;2;;;;;1;;;;;;;;;2;;;;;2;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
44118-6402;1;4;;;;;;7;;;;1;1;;6;;;;;1;2;;;1;;;;;1;;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;4;;;;;3;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22977-5799;1;3;;1;;1;;22;;;;2;9;1;12;;1;;;1;;2;;1;;1;1;;;;1;;1;;;;;;1;;;1;1;;;;1;;;;1;1;;2;;;5;;1;1;;;;4;;2;1;1;;1;;;;1;;;;1;1;1;;;;;;;;3;;;2;1;1;;;;;;;;1;1;;;;;1;;2;1;1;7;;1;1;4;3;3;2;1;1;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
28164-4114;1;5;;1;;1;1;35;4;2;;10;24;1;22;;3;3;;1;4;5;;1;1;;;;;;1;1;;;;;;;1;;;1;1;;;;3;;;;1;1;1;1;;1;14;1;7;1;;;;11;2;1;;;;;;;;2;4;1;2;3;1;1;;;;;1;;2;5;2;;8;;1;;;;;;;;2;;;;1;;;;3;2;;1;;1;;;;;;;;;1;1;;;;;3;1;;;;;1;1;;;;;;;;;;;;;;;1;1;;1;;2;4;
32030-6400;1;4;;;2;2;;34;1;1;;6;4;;23;;7;17;;1;7;;1;;;;;;;;;;2;1;1;1;;;;1;1;;;;1;;3;;;;1;;;1;;1;2;;;;1;;;5;;1;1;1;;2;2;;3;;;;1;1;;;;;;;;1;;;;;3;;;;;;;1;1;;;;1;;;;;1;1;;1;7;;;;1;1;1;1;1;;;;;;;;1;6;1;2;;;;2;2;1;;3;;;;;;;;;;1;1;;2;;1;;;;
40188-6400;;;;;;;;15;1;;;3;3;;9;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2;1;1;;;;;6;1;2;1;1;;;;;;;1;;;;;;;;2;;;;;1;1;1;3;;;;;2;;;;;;;;;;;;;1;;1;3;;;;1;1;1;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;
27747-5061;1;20;7;2;3;3;3;43;1;1;2;10;9;1;10;;1;2;;1;8;5;;1;1;1;1;1;;5;8;;;;;;4;3;2;;;2;2;;;2;10;4;;;1;;;1;;;2;;;;;;;5;;;;;;;;;2;1;1;;1;4;;;;;4;;;;;3;;;6;1;;;;4;;;;1;;;1;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;3;2;;1;4;2;
40720-7297;1;4;;1;;1;;14;;;2;4;4;;13;1;2;2;;1;2;;;1;;1;1;;;;1;1;;;;;;;1;;;1;1;;;;2;;;;1;1;;2;1;1;1;;1;;;;;5;;2;1;;;;;;;;;;;1;;1;;;;;;;1;;;;4;1;;;;;;;;;;;;;;;;;1;;1;7;;;;4;2;1;1;;;;1;1;;;;;2;1;1;1;1;;1;;;;1;;;1;;1;;;;;;;;;2;1;;;;
41292-6400;1;2;;;;;;13;1;;;2;7;1;12;;1;3;;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;;;4;;1;1;1;;;5;1;1;;;;;;;;;1;;;1;1;1;;;;;;;;;;;1;;1;;;;;1;;1;1;1;1;;;;1;;3;;;3;;;;1;;;;;;;;;;;;;1;1;;;;;1;;;;1;;;;;;;;;;1;;;;;1;;;;
27780-7297;;;;;;;;3;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39056-6401;1;11;7;1;;1;;32;;;;6;6;1;25;2;5;5;3;1;2;;;1;1;1;1;1;1;3;5;;;;;;3;4;1;;;1;1;;1;;5;1;4;1;;;;4;;;1;;1;;;1;;10;1;3;1;;1;;;;1;;;;;3;1;;;;3;2;;;;1;;1;6;3;;;;2;1;;;;;;;;;;1;;2;;2;6;;1;1;3;2;1;;;1;;2;1;1;1;2;1;2;1;2;1;1;;1;;;;4;;;2;;2;;1;1;2;;;1;1;;;;;;
36510-5489;;1;1;;;;;11;1;;;3;3;3;12;4;1;1;1;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;2;1;;;;;;;1;1;1;;;;;;;;;;;1;;;1;1;;;;;;3;;;;;;3;1;;;;;;;;1;;;;;3;2;;2;1;;1;6;;;;3;2;1;;;;;;;;;;;1;;1;;;;1;;;;1;1;;;;;;;;1;;;;;;;;;;
27780-5799;;;;;;;;10;;;;;1;;21;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;7;;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;1;;;;10;;;;4;2;2;2;1;;;2;2;1;1;;;2;1;1;1;1;;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;
26616-7114;;4;4;2;3;5;;19;1;;;6;8;6;18;1;6;6;3;;5;;;;;;;;1;1;2;;;;;;3;;2;;;1;1;;1;;;;3;3;2;;;2;;;;;;;;2;2;6;;;;;;;;;3;;1;;;;;2;1;;2;1;;;;2;;2;2;;2;1;;1;1;;;1;;;2;;4;2;1;;1;1;;5;;1;;1;1;1;;;;;3;2;;;1;1;2;;;;;;;;;;3;;;2;;;;;;2;;;;;;2;;;;
27928-5384;;1;;1;;1;;8;;;;3;5;;3;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;1;1;;;;1;1;;;;;;2;;;5;1;2;;1;;;1;;1;;;;;;;;;;;;;;;;;2;1;;1;;2;;1;3;;;;;2;1;1;1;;1;;;;;;;;1;;1;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18444-5384;1;4;3;;;;;8;;;;;;;3;;1;6;;1;;;;1;1;1;1;1;;;2;;;;;;2;2;;;;;;;;;1;;3;2;;;;1;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;1;1;1;1;1;;;;;;;;1;;;;;;;
31359-6590;1;6;7;;;3;;29;1;;1;2;5;1;18;;3;4;;1;5;4;1;;;;;;;;;;2;;;;4;1;;;;;;;1;;;;4;2;3;;;;;;2;;;;;;;4;;2;2;1;;;;;;1;1;1;;;;1;;;;;;;1;1;1;;2;;1;;;;;;;;1;;1;1;;;1;;;;;3;1;;;2;1;;;;;;2;1;1;1;;1;2;;1;1;1;1;1;1;1;;2;;;1;;1;;1;1;;1;1;;1;1;;1;3;3;
40277-6590;;;;;;;;8;;;;;;;7;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;3;3;1;1;1;1;;1;;;;;;1;;1;1;1;;;;;;1;;;1;;1;;;;;;;;;;;;;;
31569-4114;2;8;2;4;21;12;10;41;;;18;11;11;3;24;1;10;14;1;2;20;8;2;;;;;;1;1;2;;;2;2;2;;1;3;7;4;4;3;3;2;8;4;;;;1;1;5;3;;1;6;;2;;1;3;1;8;2;3;1;;1;5;5;2;;6;;;;4;;2;;;2;;1;;4;2;1;;2;;;;;;;1;;;2;;6;1;1;;1;1;5;1;;7;;1;;3;1;;;;1;1;2;2;1;1;;;10;3;2;2;1;;4;;;1;4;2;;2;2;1;1;;;1;2;2;;1;18;;4;8;1;
31755-4917;;;;1;;1;;15;1;;;3;7;;13;;2;8;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;2;1;1;;;;;6;;2;;;;;;;;;1;1;;1;1;;;;2;2;;;;3;2;1;3;1;;;;1;1;;;;;;;;;;;;1;;1;4;;1;1;1;;;;;;;;;;;;;2;;2;2;1;;1;;;;6;;;3;;1;;;;;;;;;;;;;;
36099-6895;1;2;;;;;;15;1;;;3;5;;15;;4;7;;1;;;1;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;;;2;;1;;;;;6;;2;;;1;;;;;;1;1;;;;;;;;;;1;;1;;1;3;;;;;;;;;;;;;;;;;;2;;2;5;;1;1;1;;;;;;;1;1;;;;;4;;2;;;;;;;;3;;;1;;;;;;;1;1;;;;;;;;
40963-6400;;2;;2;;3;;25;1;;2;3;7;;25;1;4;6;;;2;1;;;;;;;;;1;;1;;;;;;2;;;2;2;;1;;1;;;;1;;;2;;1;4;2;2;1;;;;14;1;6;2;1;2;1;1;1;;1;1;;;2;;1;;;;;;;1;5;;3;3;2;1;;;;;;;;;;1;;;;1;1;2;2;1;8;1;1;1;4;1;;;;;;3;3;1;1;1;;3;1;2;2;1;1;2;1;1;1;2;2;1;2;2;1;1;1;;;;;;1;2;;1;;1;
40197-7114;1;25;;4;1;3;;58;1;;4;7;8;1;36;;2;3;;1;5;;;1;;1;1;;2;;3;2;2;;;;;;;;;3;;;;;20;2;;;2;2;;13;2;;4;1;2;;;;;13;1;5;1;;;2;2;2;;;1;1;;2;;2;;;;;;;;2;1;1;5;2;;;;;;;;1;1;;;;;;1;1;2;;1;14;;1;;4;1;;;;;;;;;;;;2;;2;2;2;1;2;1;1;1;3;2;1;2;1;2;1;1;1;;;;;;4;;;;;
40755-6401;;9;;;18;2;;16;;1;;4;4;;19;;4;9;;;2;;;;;;;;1;;;;1;;;;;;;6;3;;;1;1;;2;;;;2;;;;;;1;;1;;;;;6;;4;;;1;;;;;;;;1;;;1;1;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;1;;;7;;1;;1;1;1;1;1;;;1;1;;;;;4;1;3;;;;2;1;1;;4;;;;;;;;;;;;;;;;1;;;
17491-4917;1;2;1;1;;2;;25;1;;;2;6;3;17;1;1;4;2;1;1;1;1;;;;;;;;;;;1;1;1;;;1;;;;;;;;1;;1;;1;;;1;;;3;1;;;;2;;1;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;1;;;;;;;3;;;1;1;;1;;;1;;;;;7;1;;;2;2;;;;;;;;;;;;1;;;;;;1;;;;2;1;;1;1;;;;;1;1;1;;;;;;;;
25326-5490;;;;;;1;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36131-6030;1;7;3;;;;;42;1;;;6;8;5;52;;13;15;;1;1;;;1;1;1;1;1;;;4;2;;;;;;2;;;;;;;;;3;2;3;;;;;3;;2;2;;;;;1;1;16;1;7;6;2;;3;2;2;;;1;;;2;1;;;;2;;;;;;;;5;2;;;;2;;;;3;;;1;1;3;3;2;1;1;;1;20;1;;;10;3;2;2;2;1;1;2;2;1;1;3;1;9;1;5;3;2;1;2;1;;1;5;;;3;;2;;1;1;;;;1;;;1;;;;
27760-6030;;2;2;;;;;4;;;;2;4;1;3;;;;1;;1;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;2;1;;;;2;;;;;;;;;;2;;1;;;;;;;1;;;;;;;1;;;1;;;;;;;;2;;1;;;;;;;1;1;1;;1;;;1;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
40101-6401;1;5;2;1;6;2;;33;;;;20;18;;26;2;7;14;1;1;1;2;;1;1;1;1;1;;;1;;;;;;1;;1;;;;;1;;;3;;2;1;1;;;2;;;10;;6;3;1;;;7;;3;1;1;;2;2;;;1;;;;4;1;12;2;2;;;;2;;;;;13;1;6;;;;;1;;;1;;;;;;;;4;;3;10;;1;;2;1;;;;2;2;3;3;1;1;;1;6;1;3;2;1;;3;;;2;7;3;;3;2;2;;1;1;1;;;1;;;;1;1;2;
36123-5384;;5;;;;;;16;;;;;;;14;5;1;1;3;;2;;;;;;;;1;;1;;;;;;;;;;;;;;;;3;;;;;;;2;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;6;;;;5;2;1;1;1;;;;;;;;;1;;1;1;1;1;;;;;1;;;1;;1;;1;1;1;;;;;;;;;;
29016-4114;1;4;3;;5;4;3;24;1;;;6;9;2;20;;3;5;2;1;;;1;;;;;;;2;1;;;;;;;3;;1;1;;;2;;3;2;;1;;;;;;;;2;;1;;;;;6;;2;;;;;;;;;1;;;;;;;;6;2;;;;5;;1;6;;;;;6;2;1;1;2;;;;1;2;;1;;1;;1;7;;1;1;2;2;1;1;;;;;;;;;;2;;1;;;;;;;;2;;;1;;;;;;1;1;1;;;;;;;;
41273-6400;1;2;;;;3;;22;;;;1;2;;21;;1;1;;1;;;;1;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;2;1;;;;;;;;;2;;;;;;1;1;1;;;;;;;;;;;1;1;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;1;;1;1;1;1;1;;;1;1;1;;1;1;1;1;1;;;;;1;;;;;;;
31601-4917;;2;;3;;4;1;29;1;;;3;6;2;24;;10;12;1;;;;;;;;;;;;1;;2;;;;;;3;;;3;3;;;1;2;;;;1;;;2;;;3;;1;;;;;10;;1;1;;;2;2;;;;1;1;;;;2;2;;;;;1;;2;1;1;2;;1;1;;;;;;;1;;;1;1;1;;;1;1;;5;;;;2;1;1;;;1;1;1;1;1;;;;10;2;6;3;1;;8;4;1;1;6;5;3;3;3;1;1;;;1;;;;;;;;;;
36328-5061;;12;5;;3;1;;32;1;1;2;8;10;3;28;;8;22;1;;5;;;;;;;;;4;2;1;1;;;;4;4;;2;2;;;;;;5;2;1;;1;;;2;;;4;1;2;;;;;10;;2;1;1;1;2;2;1;;;1;;1;2;;;;;3;2;2;;1;2;;;7;1;;;;1;;;;1;;;;2;;;2;3;1;;1;11;;1;1;3;3;;;;2;2;5;4;1;;1;;7;1;2;1;;;3;1;;1;9;2;1;3;1;2;1;1;;;;;;2;;;;;;
31572-4448;;;1;;;;;10;1;;1;1;4;2;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;1;;;2;1;1;;1;;;;;;;;;1;;;1;1;;;;;;;;;1;1;;1;1;;;;;;2;;;1;;1;;1;;;1;1;;;3;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
44060-6590;1;10;1;;2;2;;21;;;2;3;5;1;19;;7;14;;1;2;2;;;;;;;1;;;;;1;1;;1;;;;;;;2;;;5;;;;1;;;1;;1;1;;;;;1;1;3;;1;;;;2;1;;;2;;;;;;1;1;1;;;;;;;;;1;;;;;;;1;;;1;;2;;1;;;;1;;;7;;1;;2;;;;;;;2;2;1;;;2;5;;3;;;;1;;;1;6;1;;;;;;;;;1;;;;2;;;;2;
44530-6402;;1;;;;;;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35936-5489;;;;;4;4;;12;;;;1;1;;11;;1;1;;;1;;;;;;;;;;;;;;;;;;;1;1;;;2;;;;;;;2;;;;;;;;;;;;;5;;2;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;;4;;;;;;;;;;;1;1;;;;;1;1;;;;;1;1;1;;;;;;;;;;;;;;;1;;1;;;;
35908-5490;1;3;1;;;;;8;;;1;;3;;10;;1;1;;1;1;;;1;1;1;1;1;1;1;1;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;1;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;1;;;;;;1;;;4;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;
44389-6402;;8;5;;;1;2;32;2;1;;13;19;11;21;2;3;2;1;1;1;;;;;;;;;1;;;3;;;;5;1;;;;;;;;;1;;5;5;;;1;4;;1;5;;3;;1;8;5;7;;1;1;;;1;1;1;;;1;;1;2;;4;2;1;4;3;1;1;1;3;;;10;1;2;;;2;2;4;2;;;;;;9;2;;;;;;8;;;;5;3;1;;;;;;;;;1;;2;;1;1;;;1;;;;1;1;;1;1;;;;;;;;;;;;;;;
21894-4114;2;6;4;;10;1;;17;2;;;3;5;5;39;3;4;8;2;2;1;;1;1;;1;1;;;1;1;1;;1;1;1;3;1;;6;2;;;;;;1;;3;3;;;;1;;;;;;;;1;1;6;;3;1;1;;;;;;;2;;;;;;;;;;2;;;;;;2;;;;;;;1;1;3;;;1;3;3;1;;;1;;;8;;1;;4;2;1;1;1;1;1;1;1;;;;;4;;3;;;;3;2;1;;3;2;2;;;;;;;2;1;1;;;;;;;;
27587-4917;;1;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28101-5384;2;6;;;;;;9;;;;;1;;5;;;;;2;;;1;1;1;;;;1;;1;;;;;;;;;;;;;;;;3;;;;;;;2;;1;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;
40992-6400;;5;4;1;1;4;1;18;;;;4;7;3;12;2;4;3;2;;1;;;;;;;;1;2;;;2;;;;3;;1;;;1;1;;;1;1;;1;1;1;;1;;;;2;;;;;2;2;3;1;;;;;;;;;;;;;;;2;1;1;1;1;;;;;;;3;;1;;;;;;;1;2;1;1;;2;;;;2;;1;3;;;;;;;;;;;1;;;;;;3;;2;2;;;1;;;;2;1;;2;1;;;;;2;;;;;;1;;;;
29379-6895;;1;1;;5;1;;24;1;;1;;3;;16;;3;3;1;;7;1;;;;;;;;1;;;;;;;;1;;;;;;1;;;;;;;1;;;2;;;;;;;;;;6;;2;1;;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;5;;;;2;;;;;;;;;;;;;3;1;1;1;;;1;1;;1;1;1;1;1;;;;;;1;;;;2;;;;;;
33680-5384;;3;2;4;;4;;21;;;;2;2;;17;;4;7;;;;;;;;;;;;;1;;;;;;1;;1;;;3;1;;;;2;;1;1;3;2;;3;;;1;;1;;;;;3;;1;1;1;;1;1;1;;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;1;1;;1;2;;;;1;1;1;;;;;2;1;;;;;3;;1;;;;1;1;1;;4;1;1;2;;1;;;;;;;;;;;;;;
32030-5061;1;13;1;;17;5;;54;3;1;;9;16;;39;;13;21;1;1;9;;;1;1;1;1;1;1;;1;;1;;;;;;;3;2;;;1;2;;1;;1;;1;;;3;;1;8;1;4;1;;;;9;1;3;2;1;1;3;3;3;5;;2;1;1;5;2;2;2;1;;;;1;1;6;1;3;6;2;2;2;1;;;2;;;1;1;1;;;;1;2;2;1;1;14;1;1;;7;3;2;1;1;;;2;1;;;1;1;9;2;3;2;1;1;5;;;3;4;4;;3;3;1;1;1;1;1;;;1;4;;;;;;
40950-6030;3;10;1;1;1;4;5;48;2;3;7;34;23;8;24;1;5;13;1;3;10;3;1;2;2;;;;;1;1;;;;;;;1;;;;1;;1;1;3;2;1;;;;;4;9;2;;3;;1;1;1;2;1;6;;;;;;3;2;;4;1;2;1;3;4;1;9;5;4;5;4;;1;5;2;1;;18;1;7;4;3;1;1;2;2;2;;;;1;6;4;;2;;;;3;;;;;;;;;;;;;;;;;5;;1;1;;;2;;;2;4;2;;3;2;1;;1;;1;1;1;2;2;6;;1;1;;
22607-5384;1;5;;2;;1;;10;1;1;;6;5;;3;;;;;1;;;1;1;1;1;1;1;;;2;1;;1;1;1;;;1;;;1;1;;;;3;1;;;;;;;;;3;;1;;;;;1;1;;;;;;;;;;1;;1;2;;2;2;1;1;1;;;;1;;;3;1;1;1;1;1;1;1;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;
31747-5061;1;11;;;;;;16;;;;;1;;15;;4;2;;1;;;1;;;;;;;;2;;1;1;1;1;;;;;;;;;;;4;;;;;;;;;;;;;;;;;6;;4;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;9;2;1;;4;3;2;1;1;2;;3;;;;;3;;;;;;;;;;;2;;;2;;2;;2;2;;1;1;;;;;;;;
31759-4114;1;3;;;;1;;11;;;2;3;3;;23;;3;3;;1;3;;;1;1;1;1;1;1;;1;1;;;;;;;;;;;;;;;1;;;;;;;3;;1;;;;;;;;3;;1;;;;;;;1;;;;;1;1;1;1;1;;;;;;;;;1;;1;1;1;;;1;;;;;2;;;;;1;1;;;7;;;;1;1;;;;;;1;;;;;;3;;1;;;;;;;;1;;;;;;;;;;;;1;;2;;;;;
44113-6402;;;;;;1;;3;;1;;3;3;;1;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;1;;;;;;;;;;1;;;1;1;1;1;;;1;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31805-6030;1;10;6;;14;3;;22;;;;1;8;;17;;6;7;1;1;;1;1;;;;;;1;1;3;;2;1;1;1;5;;;2;1;;;3;;;2;1;2;2;2;;;2;1;;2;1;1;;;;;8;1;4;3;1;;3;2;1;;1;;;;;;;;;1;1;;;;5;2;2;1;;;;;1;1;1;;;;;;;;;1;2;7;4;;8;;5;;7;4;2;2;1;2;2;3;3;2;2;2;1;5;;4;4;4;3;3;;;2;5;3;;5;3;4;3;3;1;1;1;1;;;;;;;;
27455-7297;2;17;13;;;;2;36;3;1;1;7;12;2;32;1;3;1;2;2;2;2;1;1;1;1;1;1;1;7;9;3;;1;1;1;10;2;;;;;;;;;8;3;4;3;;;2;11;4;2;5;2;2;;;;;16;;2;1;;;;;;1;;3;3;1;3;1;1;;;3;1;1;;;6;1;1;6;2;;;;3;1;;;2;;;1;1;2;2;2;;1;1;;7;;1;;3;1;1;;;;;;;;;1;;1;;1;;;;;;;;1;;;;;;;;;2;1;1;1;;1;1;;1;2;
31158-5384;1;5;2;1;6;8;;24;1;;;8;9;2;29;1;6;7;2;1;7;1;1;;;;;;1;;;;3;1;1;1;2;;1;4;1;1;1;2;1;;2;;1;1;4;1;;1;;;3;;1;1;1;;;3;1;;;;;1;1;1;;;1;1;;;;5;3;3;2;1;;2;;1;1;;5;;4;2;2;1;1;1;1;;2;1;;1;1;1;;1;5;;;6;;3;;1;;;;;1;1;2;2;1;;;;6;2;5;2;2;2;3;;;1;5;2;;2;1;2;1;2;1;1;1;1;;;;;5;1;1;
27002-5489;;;1;;3;2;1;8;;;;2;3;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;1;;;;1;1;;;2;;2;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;1;;;2;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
41292-6895;;;;;;1;;4;;;;;1;;7;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39904-6030;1;9;2;;14;5;5;66;;;;5;10;6;24;3;4;4;;1;18;11;1;;;;;;1;1;6;1;;1;1;1;1;2;;;;;;1;3;3;7;3;1;1;;;2;7;;;4;;1;;;3;1;14;1;5;4;2;;;;;6;9;;;;2;;1;;;2;1;;;;5;;2;3;;;;;2;1;1;;;1;1;;3;3;1;;3;4;3;1;12;;2;1;10;6;3;3;;3;3;3;3;2;2;1;;4;;3;3;2;2;3;1;1;;3;3;1;3;3;2;2;2;1;;1;1;;9;;1;3;8;1;
16014-5799;;3;3;;;;;8;;;;1;1;2;7;1;;;2;;1;;;;;;;;;1;2;2;;;;;3;1;;;;;;;;;1;1;3;3;;;;1;1;;;;;;;1;1;4;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;1;;1;1;1;;;;;1;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
