aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
31805-6030;2;23;10;;14;3;;38;;;;1;8;;37;;7;8;1;2;;1;1;1;1;1;1;1;2;2;5;;;2;1;1;1;8;;;2;1;;;3;;7;;1;2;2;2;5;1;1;1;2;1;;;;;12;1;6;4;2;1;3;2;;1;;;;;;;;;1;1;;;;5;2;1;;;;;1;1;1;;;;;;;3;2;7;;16;1;5;;9;5;3;3;2;2;2;4;4;3;1;6;;5;5;5;4;1;6;4;1;6;4;5;4;1;1;1;1;;;;;;
27455-7297;2;22;16;;;;2;58;5;3;1;11;16;2;40;1;4;4;2;2;2;2;1;1;1;1;1;1;1;7;13;2;5;;1;1;1;10;4;;;;;;;;9;;4;6;3;;18;4;7;3;7;2;;;;;20;;2;1;;;1;1;1;;5;3;6;1;2;1;;;4;2;1;;;7;1;8;4;;;;4;2;;;;1;1;2;2;2;;1;;7;;1;;3;1;1;;;;;;;;;2;;2;1;;;;3;;;1;;;;2;1;1;1;;1;;1;2;
31158-5384;1;7;3;1;6;8;;27;1;;;9;10;3;32;1;6;7;2;1;7;1;1;;;;;;3;;;;;5;1;1;1;3;;1;4;1;1;1;2;;2;;;1;1;4;2;;;1;3;1;1;1;;;5;1;;;;;1;1;;;1;;;;5;;3;3;2;1;1;3;;1;;6;;4;2;2;1;1;1;1;3;;1;1;1;2;1;6;1;8;;4;1;2;;;;;1;1;2;2;1;;6;2;5;2;2;3;;5;2;;2;1;2;2;1;1;1;;;;5;1;1;
27002-5489;;;2;;3;2;1;10;;;;2;3;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;1;;;;2;2;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;1;;2;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
41292-6895;;1;;;;1;;10;;;;1;2;;14;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;;;;;;6;;2;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;1;;;;2;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39904-6030;4;18;16;1;31;9;9;129;;2;1;20;24;20;38;3;4;4;;4;23;16;4;1;1;1;1;1;3;5;10;1;2;;3;3;3;7;11;1;2;1;1;1;2;7;10;;3;11;4;;25;1;;;6;1;;;12;9;21;1;9;5;2;2;;;7;12;;2;8;1;1;1;;;5;4;3;;;8;3;14;4;;;;4;3;1;;1;;6;15;11;1;4;4;1;20;;2;1;13;8;4;3;;3;3;3;3;2;;4;;3;3;2;3;1;3;3;1;3;3;2;2;;4;4;1;11;;3;11;1;
16014-5799;;6;7;;;;;16;;;3;1;1;3;14;1;;;2;;4;2;;;;;;;;3;3;;3;;;;;5;3;;;;;;;;2;;2;7;5;;2;;1;;;;;;2;1;7;;2;1;1;1;;;1;2;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;1;1;1;;;;3;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;2;;
40890-6400;1;2;;;4;3;;46;1;5;1;23;19;;41;;4;6;;1;3;;;1;1;1;1;1;1;;1;;1;;;;;;;;1;;;;2;;1;1;;;;2;2;;;1;11;7;1;;;;20;1;6;2;;;;;;;1;5;7;1;3;;1;;2;1;;1;2;1;1;14;4;2;;;1;;;;1;1;;;;;3;4;3;19;;3;2;9;3;2;2;2;2;2;4;3;1;1;3;1;1;1;1;2;2;1;1;1;1;1;1;;;;;1;;1;1;;;
28256-5061;;;;;4;1;;5;1;;;3;3;;4;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;1;;;;;;;;;;;;1;1;1;;;;1;1;;;;;;;;;1;;;;2;;1;1;;;;1;;2;1;3;;2;1;1;;;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30609-5061;;3;1;;;;;5;;;;;;;6;;;;;;;;;;;;;;1;1;1;;;1;;;;1;;;;;;;;;1;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
