aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
20796-4435;1;6;2;5;;5;;26;;;;9;11;1;27;5;6;1;1;8;3;;1;1;1;1;1;;2;1;;;;;4;;;;3;3;;;3;;;2;1;1;;;3;;1;;1;;;;1;;;5;;1;;;;1;;;;;1;;;;1;;;;6;1;2;2;1;1;;;;;;1;;;;2;;;1;;;;;;;2;;2;1;2;;;;;3;;10;2;4;;3;3;1;;;;;;1;2;;1;1;;;1;;;;3;1;;2;1;2;1;1;1;;;1;;;2;2;1;1;
31469-6895;1;4;;7;;6;;25;;;;7;20;;21;2;2;;1;;2;;1;1;1;1;1;1;;2;;;;;5;;;;6;5;;;3;;;2;2;2;1;;10;;1;;1;1;;;4;3;;3;1;;;;;;;;;;1;1;;;1;;;;3;1;2;;;;3;2;;;1;;5;;;7;;;3;2;;;2;2;;8;5;5;2;;;;;;3;1;6;1;2;;1;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;2;
31658-4435;;8;;5;56;10;;35;1;;2;13;17;3;7;3;4;2;;3;;;;;;;;1;;;;;;;5;21;7;2;3;3;5;1;4;;;7;1;1;8;2;8;2;5;1;3;;;;1;;;5;1;4;;;1;1;1;;;;;;1;;2;1;1;;8;2;1;1;1;1;5;5;1;1;;1;3;2;1;12;1;;8;1;1;1;4;4;1;3;3;;;;3;2;;;1;;5;;;;;;;;;1;;;;3;1;3;2;1;;1;1;1;1;3;1;;2;1;1;1;;2;;;;;2;;1;;;
39719-6401;1;19;;5;19;6;3;40;;;;7;6;;18;6;12;;1;5;;1;;;;;;1;6;;;;;;5;3;2;2;5;5;1;;11;2;;2;1;1;;;2;;1;;1;1;;;;;;8;1;2;1;1;1;2;1;;;;;;;;1;;;1;2;;2;2;2;2;;;;;;3;;;;4;1;;2;2;2;2;;;;;;;;1;;;1;1;2;1;3;;1;;1;1;1;1;;3;;;1;3;;;;;;1;1;;;1;1;1;1;1;1;1;;;1;1;;1;;;1;;;
44022-6590;1;6;;6;10;7;;102;1;1;;21;33;;44;4;4;;1;2;2;1;;;;;;;2;;1;1;1;;6;2;1;;5;5;;1;4;1;;3;2;2;20;3;23;4;13;3;;;6;5;1;;;18;;9;4;2;1;2;2;1;1;;2;2;1;1;10;1;1;2;3;1;;;;;8;7;2;2;;2;7;;1;21;9;1;2;;;;8;7;2;5;4;1;1;;;;;1;1;1;20;1;8;1;4;2;1;1;1;2;2;1;;4;1;3;2;1;1;3;3;2;2;3;3;2;2;2;1;1;1;;1;1;;;;;;;2;
31311-6030;2;10;;;5;1;1;17;1;1;;10;10;;13;3;4;;2;;;1;;;;;;;;3;1;1;1;;;;;;;;1;;3;;;;;;;;3;;2;;;;;;1;;;1;;;;;1;;;;;;;;;1;;;;;3;;3;2;1;;1;1;1;;;;;;;7;;;1;1;;;1;;;1;;1;;;;;2;;;;4;;;;;;;;;1;1;;;3;;2;1;1;1;1;1;;;3;;;1;;1;;1;;2;1;;;;;;;;
27706-4435;1;12;;;;;;28;3;1;;6;15;;28;1;4;;1;;;1;;;;;;;2;1;;;;;;;;;;;;;7;;;;;;;;6;;1;;;;;;1;1;;8;1;3;1;;;;;;;;;;3;1;;;;;2;;1;1;1;1;;;;;1;;1;1;;4;;;1;1;1;1;;;;2;;2;;;;;2;;1;;7;;3;;1;1;1;;;;;;;1;;1;;;;1;1;;;2;1;1;;;;;;;1;1;;;;;;;;
31858-4434;1;8;;;;3;2;30;2;1;1;7;14;2;32;5;9;;1;3;3;;;;;;;1;;2;;;;;;;;;;;;1;5;;;1;;;1;;6;;4;1;1;1;1;1;;1;1;8;;2;2;1;;1;1;;;;1;;1;1;2;1;;;2;;2;2;;;1;1;;;;;2;1;;6;2;1;2;2;2;;1;1;;1;;2;;;1;1;;;;;7;;3;;2;;;1;1;1;1;;;4;1;;;;;1;;1;1;2;;;1;;;;;;1;;;;1;;;3;2;
31589-4435;1;8;1;;20;2;;19;1;;;3;4;;15;4;11;;1;3;;1;;;;;;1;2;1;;;;;;7;1;;;;1;;3;;1;;;;1;1;2;;1;;;;;;;;;6;;3;2;1;;2;1;1;;;;;1;;1;1;;;1;;1;1;;;1;1;;;;1;1;;;3;1;1;1;1;1;;;;;;;;;;;;2;;1;1;7;1;4;;3;1;1;;;;;;;4;1;1;;;;2;;1;;4;1;;1;;;;;;1;1;;;;1;;;;
31447-4435;2;12;;1;27;6;;65;2;3;;24;35;;16;2;3;1;2;;1;;2;2;1;1;1;1;5;;;;;;1;5;2;;;;2;2;7;3;;3;;;;;19;2;14;4;6;3;;;1;1;;8;1;3;1;1;;;;;;;;;2;3;6;2;2;1;10;;4;3;1;;1;1;;;;;5;;1;21;5;1;9;4;3;1;;;;1;1;1;;;;;;;2;1;4;1;1;;1;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;1;;;2;;;;;;1;
