aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;3 14>;6 14>;7>5>;7 14>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>33>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;46>1>;48>14>;48>29>;48>30>;48>48>;49>49>;
17604-4130;4;47;2;1;2;4;41;80;2;1;1;10;19;2;9;6;32;32;2;51;4;56;1;1;3;4;9;3;;1;1;19;1;4;;7;2;;;1;2;5;;1;5;4;3;2;;6;10;3;;1;1;1;;;2;;;2;6;1;21;1;1;4;7;2;;;;1;;2;1;;3;2;1;;;;;2;2;1;;1;;;3;5;;3;1;;;1;1;1;;;3;1;1;3;5;6;1;2;1;1;1;;4;3;7;3;3;2;3;3;1;1;1;1;3;7;2;1;3;2;1;;1;;
27934-7098;4;16;1;;;;;31;2;;;18;22;1;4;1;5;12;;31;4;3;;3;;1;2;2;1;2;1;5;;2;;6;;;;;;3;;;;8;2;1;;5;2;1;;7;2;;;2;2;;1;1;2;1;14;1;;1;2;2;;;;;1;;;;4;;1;1;;;1;5;;;3;;3;2;1;8;;3;1;1;;2;3;2;1;;3;1;;1;;3;;1;1;1;1;;2;1;;1;2;2;1;2;1;1;3;;4;6;5;2;1;;;;1;;
22475-4605;3;22;;3;6;5;;54;1;2;;18;31;6;4;4;27;10;;34;3;3;;2;1;3;3;3;2;3;3;10;1;2;1;4;;;3;1;1;4;;;2;8;4;;;3;4;2;;2;;;;;11;1;4;1;2;;19;1;;1;1;;1;1;1;;1;2;1;;5;1;2;1;;;;1;;;;2;3;1;3;8;1;3;2;;;1;3;1;;;8;;4;;3;12;2;7;4;1;;;2;2;;1;3;1;1;3;2;;3;;;4;3;2;1;1;;;1;;
22305-5468;;6;1;;;1;;20;;3;;;5;;;;6;1;;13;;2;2;;;;2;;;;;4;;;;;;;;;1;1;;;1;1;;;;;1;1;1;;;;;;1;;;1;;;8;1;;;1;;;;;3;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;;;;;;3;;2;1;;;;;;;;;;;1;;;1;;;2;1;;;1;;;;;
22293-7098;;1;;;;;;17;;1;;7;6;;3;3;30;14;;9;;3;;;;;;;;;;1;;1;;1;;;;;;;;;;3;2;1;;2;;;;2;;;1;1;2;;2;7;6;2;4;;;;3;;;1;;;;;;;2;;;;;;;;;;;;1;2;;3;;2;;;;;;;;;2;;;;;10;;5;4;3;2;2;3;2;;;1;4;5;;;;;;;;;;;;;;;;
21911-4130;;4;;;5;3;;22;;5;2;10;10;;2;;5;7;1;10;;7;;;;;1;;;;;2;;;;;;;2;;;;;3;2;7;2;1;1;2;;;;1;1;;;;2;;;;1;;7;;;;1;;3;3;2;1;;4;2;1;5;3;2;2;;;;2;;;;1;;;;4;;3;2;1;;;2;2;;4;;;;1;;5;;4;3;2;2;2;;;;2;1;;1;;1;;;;2;1;;;;2;1;2;;;
22222-4130;1;4;;;;;;44;;8;;35;34;;3;1;23;8;;20;1;6;;;1;;1;2;;;;1;1;;;;;;;;;1;;;;14;9;2;1;;2;;;17;5;4;5;2;10;;3;5;2;1;12;4;1;;4;;2;4;1;;;1;;3;3;;1;;;;;7;4;1;2;1;6;2;1;15;;2;1;;;2;;;1;;5;1;;;1;8;1;5;2;2;2;1;;2;2;;1;2;1;;1;1;4;1;2;1;;;1;;;1;;;
15818-5469;1;6;;;1;2;;35;1;1;;12;16;1;3;3;17;11;;20;2;6;;1;;;;1;1;;;5;1;;2;;;;1;;1;;;;;7;3;;;1;2;;;5;1;;2;;6;;;2;6;3;10;1;1;2;6;1;;1;;;1;1;;;1;;;;;;;1;;;1;;2;;1;6;1;;;;;;;;;;2;;;1;2;8;1;4;3;1;1;;2;;1;1;1;;4;;1;;1;1;1;3;1;1;;;;2;;;
13190-5468;2;20;1;;1;3;;39;1;5;1;12;22;;1;;1;7;;32;2;6;4;1;2;3;3;2;;1;;8;;3;2;8;;1;1;;;3;;2;1;3;1;1;1;1;4;2;;4;1;1;1;;9;1;2;;2;1;13;1;;1;2;1;;2;;3;;;;;3;;2;2;1;1;;2;1;1;;;2;2;1;4;;3;2;2;1;;2;;2;2;2;;;;;;;;;;;;;;;2;1;1;4;2;2;;4;2;;6;3;;1;1;1;1;1;1;
18523-7274;1;21;5;4;2;5;;89;5;3;6;47;48;16;3;2;34;22;6;40;3;13;15;1;;2;2;7;4;1;;7;2;3;4;4;1;;1;2;2;7;4;;3;11;5;3;2;9;9;3;9;17;1;;1;;9;;3;11;4;1;21;2;2;2;4;1;2;2;;;;10;2;2;12;6;7;3;2;;2;6;5;3;2;;5;1;3;19;2;9;6;2;2;1;1;1;;;5;;12;1;2;16;2;9;4;3;;;6;;;1;1;6;2;3;3;;5;4;2;5;;;;3;6;;3;5;
