aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16 31>;16 31>31>;17>30>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>14>31>30>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;38>14>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;41 48>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>49>;
18267-4130;5;28;8;;1;2;56;1;2;;3;15;17;;2;1;7;5;;38;5;3;1;2;3;2;3;2;1;2;2;;;;1;3;3;18;1;;;3;6;;3;8;2;;;1;;1;1;4;7;1;2;;3;3;1;;;5;1;1;4;1;1;;;7;1;2;2;2;1;21;;2;2;;;;;2;;1;1;1;2;;;1;7;2;4;2;4;3;3;2;1;;4;1;1;;;2;1;;;1;1;7;;5;3;3;2;2;;2;1;1;;4;2;;1;1;3;2;2;;3;2;;2;;;;3;2;2;1;3;1;2;;;;1;
22212-4604;2;9;4;6;;3;44;1;1;;2;18;18;4;2;1;8;11;1;19;3;6;1;1;1;1;1;1;1;1;3;;;;;1;1;5;1;;;1;1;;1;3;2;;;;3;1;;1;2;2;4;1;5;2;;;2;1;;1;10;;;;3;9;1;3;1;4;;9;1;;2;1;;1;;1;;;;;8;2;1;;;;;;;;;;;;;;;;;;;5;2;;;2;;;;;;;;3;1;;3;5;;4;;1;4;3;3;1;2;1;3;;1;;1;;;;1;1;1;1;1;;;1;
26702-4605;5;60;6;2;6;7;212;3;6;1;;114;127;1;7;5;15;44;;95;5;12;4;2;3;3;2;2;5;3;9;14;9;7;1;4;3;25;2;4;3;2;6;3;3;13;3;;2;4;1;4;;13;2;2;1;5;62;28;20;10;14;15;;4;58;24;11;7;1;36;8;5;6;13;3;50;5;4;8;;1;2;1;1;;4;;8;16;6;4;2;39;11;19;6;11;6;3;2;2;2;28;13;11;5;1;10;3;2;1;3;4;54;2;31;16;10;6;3;2;16;7;2;2;15;5;1;;3;4;3;1;3;6;6;4;5;9;1;3;7;;;1;3;2;3;1;1;;2;
24091-6398;5;24;;;3;3;52;2;;;;13;17;;2;2;10;7;;37;4;3;;1;4;3;2;2;1;;3;2;2;1;3;3;1;13;;1;;1;5;;1;7;;;;2;;2;1;3;;1;;1;5;2;;;2;7;1;;3;;;;;4;;4;;3;1;24;1;2;2;;2;1;1;;;;;1;4;3;2;;4;1;;;;;;;;;3;3;;1;1;;;1;;;3;9;2;4;;;;;3;2;1;;;5;1;;2;2;7;4;2;1;1;3;2;1;6;4;3;5;1;1;1;1;1;3;;;;;
21598-4604;2;18;3;5;;3;39;1;4;1;;16;14;1;2;1;5;5;;20;2;1;1;1;;;;;;1;2;1;;;1;1;1;10;;1;1;1;3;2;2;5;;2;;;2;1;1;1;;2;2;;8;;;;3;2;;;7;1;;1;1;3;;;;1;;14;1;1;;;;1;;2;;4;2;1;2;1;;;4;;1;;1;1;;;;;1;;;;;2;;1;;1;1;2;;1;1;1;1;;;2;1;;;;;;1;;2;1;1;1;;1;;;1;;;3;;;;1;1;1;;;;1;
22418-4130;6;43;4;2;4;5;97;4;9;1;2;48;43;4;3;2;12;16;;59;6;9;;2;3;1;2;2;5;1;7;6;2;1;2;4;4;24;2;3;;3;11;;4;13;2;1;;2;1;3;;9;2;2;3;;17;4;;;3;7;1;;11;2;;3;;11;1;3;;5;3;35;3;3;3;;4;3;3;6;1;8;6;1;12;3;1;1;13;5;6;3;4;3;2;2;1;;8;2;;1;3;3;;;2;;2;14;4;4;2;2;2;1;4;8;3;;1;9;3;;3;1;6;5;4;5;4;3;1;3;5;3;1;5;1;;;4;2;1;;2;;;
21393-4605;3;26;10;;10;3;60;2;6;1;;25;27;4;1;1;5;4;3;33;2;;;2;;;1;;3;3;5;2;;;1;2;2;13;;2;;;1;;;4;2;;1;3;;;;4;3;2;1;2;8;3;1;1;;5;1;;4;;;1;;5;;1;;1;;17;2;1;;;1;1;;5;1;6;5;1;10;3;2;;9;5;5;1;1;;;;;;3;2;;2;;4;;;;1;1;12;4;3;3;;;;1;1;1;2;;3;;3;1;;2;1;1;1;;2;3;;4;2;;4;1;;;2;2;;;;;;
15494-5714;2;35;2;2;;3;68;3;2;1;;53;53;3;1;2;4;11;;48;5;4;1;1;1;1;1;1;4;1;7;7;2;;1;1;1;15;3;;1;4;9;2;6;12;1;;;;1;1;1;9;;2;10;3;12;5;1;1;3;5;3;1;13;2;;3;2;16;1;9;;5;1;28;1;2;1;;2;2;;1;1;1;;3;5;;;1;13;2;8;1;5;3;1;1;1;1;6;1;1;1;1;7;;4;;4;3;20;;7;5;2;1;1;3;7;3;1;1;14;1;;1;;;;;1;3;6;4;1;5;2;;7;4;3;;1;;1;2;2;2;1;
30627-4604;3;16;1;6;;6;66;1;4;;;29;31;1;2;1;5;12;2;46;3;;;;2;2;1;1;1;;3;2;1;1;1;1;;6;;;1;;2;1;1;4;;3;;;2;1;;3;;1;11;1;16;12;10;7;4;5;3;;11;5;4;;1;5;;3;;2;1;27;1;2;;;1;1;1;3;;2;1;;11;10;9;2;17;8;13;7;10;6;5;3;3;3;8;7;5;2;;2;2;2;;;4;18;3;14;12;9;5;4;;2;;2;;6;2;;1;;2;;;3;1;2;8;2;3;2;;6;6;1;;;;2;;;;;
28338-7118;1;3;;;;;26;2;3;;;20;27;4;;;1;2;2;6;1;;1;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;3;10;3;;;1;;;1;9;5;1;2;;9;;;1;;;1;;;;;1;2;1;2;;2;1;;4;1;;1;3;1;;;;;;;;;7;1;;;;3;;;;;2;9;2;2;;;;;1;3;2;;;2;1;1;;;;;;1;1;;;1;;;;;;;;;;;;;;1;
