aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>2>;2>2>31>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;2 14>;2 14>2>;2 14>3>;2 14>14>;2 14>31>;2 14>31>30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 48>;3>2>;5 14>;6>6>;6 14>;6 41>;6 48>;7>5>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>7>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>41>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>41>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 30>31>;16 31>;17>30>;17>31>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>41>;30>48>;30>48>30>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;31 41>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>13>;48>14>;48>29>;48>30>;48>31>;48>48>;48>48>48>;49>48>;49>49>;
18875-7118;1;9;1;8;2;5;;21;;3;6;13;14;;1;12;1;6;3;;1;2;;;1;;;;;;;;5;;;;;;;1;;;1;;;1;;2;1;;1;2;;;;;;;;1;1;1;3;2;1;1;1;1;1;1;3;1;;;;;1;2;1;;;4;;;;;;;;;2;;2;2;;;2;;;5;1;1;1;1;1;1;3;;5;3;;3;1;3;;6;2;1;;;4;5;;1;1;1;1;1;1;4;3;2;3;2;;;;;1;;;3;1;;;;;6;3;5;3;1;;;3;;1;;;3;;
22906-7098;;8;;1;;1;;14;1;1;;12;9;1;;16;;8;;;;;;;;3;2;1;1;;;1;4;;;2;1;1;;1;1;1;5;1;;;;;;;1;;1;1;;;;;;;2;1;5;3;2;1;1;1;;;;4;;2;2;;1;;;;;7;;;;;1;;;;;;;;;;1;;1;4;;3;1;1;;;;2;2;2;2;;;5;2;;;2;;;;3;1;2;1;1;1;;;;;;;;;;;;1;1;;;;2;;;;1;;;;;;1;;2;1;3;;;;
10786-5469;;6;;1;;;;6;;1;;5;3;;;4;;;;;;;;;;;;1;1;1;1;2;3;;;;1;1;;1;1;1;2;;;1;;;;;;;;;;;;;;;;;2;2;2;2;2;2;1;1;;1;;;;;;;;;;2;1;1;1;;;;;;1;;1;1;;;1;1;;3;1;2;2;2;2;2;;;;;;;;;;;;;;;;2;;2;2;2;2;2;2;;;;;;;;;;;;;;;;1;1;1;2;;1;1;;;;;;;;;;;
22189-4604;1;4;;3;5;3;;11;;1;;4;6;1;;8;1;2;;1;1;1;1;1;;;;2;2;;;;2;;;;1;1;;;;;;;;1;;2;;;1;;1;2;;;;;;1;;;2;1;;;;;;;;;;;;;;2;;;2;4;;;;1;;;;;1;;1;1;;;;;;1;;;;;;;;1;1;;;;;1;;;;;;;;2;;;;;;;;1;;;;;1;;;;3;1;;;1;;;;;2;;1;1;1;;1;;;;;;;;
23725-5468;;6;;;2;4;;24;;4;3;13;17;;1;12;;10;3;;;2;;;;;;2;2;1;1;;4;;;;2;2;;1;;;2;;;;;1;;;;;2;1;;;;;;;1;1;10;6;4;3;2;2;2;1;;4;;3;3;;;5;1;;1;5;1;1;;3;;;;;2;;3;1;;;1;1;;6;;4;3;2;1;1;;3;3;3;2;;1;3;1;;;;;;;7;;5;4;3;2;1;1;;;;2;;;1;;3;2;;;1;;;3;1;1;3;;2;1;1;;;1;1;4;3;2;2;;
21251-5469;1;8;;;;2;;11;1;;;3;5;;;7;1;;;;;;;;;;;;;;;;6;;;;;;1;2;;1;2;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;3;;;;3;;;;;;;;1;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
17604-4130;2;32;5;5;5;9;;67;3;8;;31;37;1;2;23;2;11;4;2;1;3;;1;1;8;3;4;3;;;1;16;1;1;1;2;2;2;1;;3;5;;1;2;;2;1;;2;3;3;;7;2;2;;2;5;6;1;18;8;1;;;5;2;1;3;7;;3;2;;;7;1;1;;5;;;;5;2;1;1;2;4;;4;2;;;8;4;2;9;3;2;2;2;2;1;1;1;8;5;1;2;1;1;;1;1;;3;3;7;15;2;4;2;2;2;2;1;4;3;;2;1;;2;2;;2;;;;1;3;1;;;4;;2;1;1;;;;1;;;;1;4;
22475-4605;1;8;;1;;1;;11;1;;;6;9;;;12;1;1;;1;1;;;;;;;1;1;1;1;2;3;;;;1;1;1;;1;1;1;;;;;;;;1;;;;;;;;;1;;;2;1;1;1;1;2;2;1;;3;;;;;;4;1;2;1;4;;;;1;1;1;1;;;;;;;1;;;;2;;2;2;1;1;1;;;2;;;;;;;;;;;;;2;;1;1;1;1;1;1;1;;;1;;;3;2;;2;;;2;;;;;;4;1;2;1;1;;;;;;;;;;
22305-5468;;6;3;;3;3;;14;;1;;2;5;;;6;;4;;;;;;;1;2;;;;;;;5;;1;1;;;1;1;;2;1;;1;;;1;1;2;;;1;1;1;;;;1;;1;;;;;;;1;1;;;;;;;;;3;;;1;3;;;;1;;;;;1;;1;1;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;1;;;;;;;;;1;;;;;;;;;;1;;;;
22293-7098;;8;2;1;2;5;2;25;;7;;17;18;1;;4;;13;1;;;2;;1;;;;2;2;2;1;;4;;;;1;1;1;;;1;;1;1;;;1;;;1;;2;;1;;;;2;1;1;;7;4;2;;;;;;;5;;1;1;2;1;7;2;;1;2;;;;2;;;;;3;1;4;2;2;;2;;1;9;1;4;4;1;;;1;2;2;1;;;1;4;3;3;1;1;;;;8;;4;2;2;1;;;;;2;3;;;;;2;2;1;1;;;;1;1;;;;;;;2;2;;3;;1;1;;1;
