aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>2>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
19904-4605;2;15;1;;;1;;28;1;3;;22;13;;1;1;7;10;1;30;3;1;;1;1;1;2;1;1;3;;;3;1;;;;;2;3;;1;1;1;;;;;;;2;;1;;;;;;;;3;3;;2;;;;;5;4;;;1;1;;1;1;2;;;1;;;;10;;3;1;1;1;1;2;2;1;1;;;9;;5;3;1;1;1;1;1;1;2;1;4;;;;;1;3;2;1;1;1;;1;1;1;4;5;;1;;;6;2;;3;2;1;1;1;2;;;;1;;;;
28039-4605;;1;;;;1;;6;;;;1;4;;;;;;;6;;1;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;2;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;;;;1;1;1;
31347-4605;4;22;1;1;10;5;3;54;1;;;16;19;2;3;1;1;8;;32;4;5;3;3;3;2;3;2;1;4;;;7;3;2;1;1;1;;;;1;1;;;1;3;1;1;2;11;1;4;;;1;;3;1;1;2;9;2;6;;;;;4;9;1;;2;;;1;1;;;;5;;;;5;;3;2;;;1;1;1;3;;;3;16;5;5;3;2;;1;1;1;;1;1;;;2;2;1;;;;;;;;1;3;;2;1;;1;1;1;3;;;;;;3;2;2;1;;;1;2;1;1;
36141-5469;2;10;4;;;;;18;;;;5;5;;3;2;4;5;;7;2;;1;2;;;1;;;2;;1;2;;;;;;;1;;1;1;1;2;;;;;;3;;;;1;1;;;;;;3;;3;1;;;;;4;1;;;;;;;;;;;;;;2;;1;1;;;1;1;;;;;2;4;;1;;;;;;;;;;;;;;;2;2;1;;;;;2;2;2;;2;;;;;1;;;;;;2;2;;;;;;;1;;
22946-7274;;11;;;;1;;22;1;3;;16;14;;1;1;1;3;;3;;4;;;;;;;;2;1;;2;;;3;3;1;2;2;;;;;;;;;;;7;1;1;1;1;;;;;;1;7;;5;1;1;;;1;2;;1;;;;1;;3;1;3;2;1;3;3;4;;4;4;2;1;;;;;2;;1;11;1;3;3;3;2;;;;;1;;;2;;;;1;1;1;1;1;1;;1;1;;;1;;1;1;1;;;;;;;;;;1;;2;;;;;
35030-5468;;6;;;;1;;7;;;;2;2;;;;;;;2;;1;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;5;;1;;;;;1;;;1;1;;;;;;;;1;;1;1;;;;;;;1;;;;;;;;;;;;1;1;;;;1;1;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;1;;2;1;;1;1;;;;;;;;;;1;;;;;
31321-4605;1;14;;;30;5;;25;1;2;;13;21;4;2;1;3;4;;21;1;1;;1;1;1;1;;;3;;;;;;5;2;;;1;;1;1;;;;11;;;2;4;1;;1;;;;2;;;1;7;;4;;;;;;2;;;1;;;1;;2;;;;;1;1;1;;1;;;;;;;1;;1;;10;;1;1;;;;;1;;3;1;1;1;2;;1;1;;;;;;1;;2;;1;1;;;;;3;;;;;;1;1;1;;;;;;;;
18081-5468;2;8;2;;;;;25;1;1;;11;11;;;;;1;;9;1;2;1;2;1;1;2;1;1;2;2;1;;;;3;3;2;;3;1;1;1;1;1;;;;;;5;1;;;2;;;;;;;6;;5;1;;;;;3;;;;;;1;1;1;;1;;;;;3;;;;;;;;;1;2;;;10;;3;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;1;2;;;2;1;1;1;1;1;;;;;;1;;
36384-7098;;22;;;;3;;23;1;5;;32;28;;2;1;10;8;;33;;1;;;;;;;;3;;;;;;7;3;;;3;;;;;;;;;;;4;;;1;;;;;;;2;1;;;;;;;;3;;;;;;;;5;;1;2;;;;3;;;;;;;2;2;3;;2;;16;1;;;;;1;1;2;;2;2;3;;;;1;1;3;;;;;1;;1;1;4;4;;;;;5;;;2;1;;;;;;;;;;;;
30907-4604;2;17;2;1;;2;;35;1;;;5;14;2;1;1;4;5;;17;2;1;;2;1;;1;1;;3;;2;1;;;;;;;2;1;1;1;;1;1;;1;1;;9;;;;;;;1;1;1;;1;;1;1;;;;1;3;;;;;;1;;;;;;;;;4;;3;1;1;1;1;1;;;;;1;5;;4;3;1;1;;;;;1;;1;;2;2;1;;1;1;;;;1;1;1;;1;1;;1;;2;6;;1;2;2;;2;2;1;1;;;;;;;
