aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>14>41>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
35640-5388;;13;1;6;1;4;101;2;11;;48;45;3;2;1;6;5;;49;2;11;2;;;;;;2;4;2;;;;;;;;3;;;3;2;1;9;2;3;;;;;2;6;28;21;2;;;;;;1;;30;1;;2;1;1;;2;1;10;4;;;11;2;2;;;6;3;3;2;2;1;1;1;1;;7;4;;2;;7;34;4;5;3;2;1;1;1;5;2;;;;1;1;;1;2;;;;;;3;1;;;1;;1;1;1;6;1;3;2;;;;4;;;1;;;;
35996-5468;1;4;1;1;;1;34;;;;3;5;;2;1;6;3;2;18;1;1;1;1;;;;;;3;2;;;;1;1;1;1;1;;;1;1;;2;;2;;;;;;6;4;2;1;;;;;;;;7;1;;3;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;2;3;2;;;;;;;1;;;;;;;;1;1;;;;;1;1;1;1;;2;;;;1;7;;2;;1;1;;;;;;1;;;
31106-4130;1;7;1;;10;3;36;2;1;;9;11;;1;1;11;8;;46;1;16;1;1;1;;;;2;1;;1;;2;1;1;;;;;;;;2;2;;;1;;;;2;1;3;2;;2;1;;;;;;16;;;6;1;;;2;;1;;;;;;;;;3;;1;;;;;;;;;;;2;;;6;;3;1;;;;;;;;;2;1;;;1;5;4;3;2;1;;;1;1;3;2;;2;2;1;11;1;3;2;1;1;;1;;1;5;1;1;1;
28026-7118;;15;1;;15;4;93;1;3;;31;35;1;4;2;5;12;;66;;4;1;;;;;;2;;;7;4;1;;;;1;;1;;;;3;5;;;2;;;;1;2;13;11;;6;4;2;;;4;1;25;;;10;4;;;1;;3;;2;3;1;;;2;2;18;1;9;;4;3;1;;;;1;1;4;;;;20;;9;6;3;2;;;1;1;;;5;1;1;;2;2;1;;;;2;1;4;2;;3;2;2;;2;22;2;9;5;;;;;;;;1;;;
18027-4130;4;20;2;6;12;5;47;4;1;;12;24;2;3;2;11;11;1;31;4;1;;3;2;2;2;2;3;4;1;1;;1;2;1;1;1;5;1;;4;3;1;8;1;2;1;;;;;1;11;1;1;;;;1;1;1;;14;2;1;3;;;;4;;1;;;;4;1;2;;;4;1;1;1;;;;;1;1;1;;2;;;7;11;3;3;1;;;;;;;4;4;4;1;2;1;1;6;5;5;3;3;1;2;3;3;;3;1;5;4;1;6;2;1;;2;2;2;1;;;1;;;;
36354-5388;4;19;10;1;8;7;59;;8;1;35;34;7;1;1;4;5;;26;7;1;;2;1;;;;2;3;;2;;2;2;2;2;3;1;;;1;1;1;5;;;;;1;1;4;2;16;10;2;;;;;2;;;9;1;;1;;;;;;7;1;4;;9;;3;;;8;3;1;;;;;;1;;2;2;;;1;1;22;4;2;;;;;;1;1;1;1;2;1;4;2;1;;;;;;1;1;1;1;1;5;;3;1;1;5;1;1;1;3;2;;;1;;;;;;
22906-7098;1;21;;;;1;58;2;5;;18;23;;3;2;14;11;;42;3;4;;;1;1;1;1;;1;1;2;2;5;;;;;;;;;;;6;;;1;;;;;3;8;5;1;1;;;1;;3;1;18;2;;4;2;;;1;;5;1;;2;3;;;1;1;3;;1;;1;;;;;;1;;;3;;1;11;1;3;1;1;;;;1;;4;2;6;1;;;1;4;1;1;;;2;2;3;3;;7;1;7;1;2;12;2;5;4;;;1;1;;1;;;;;
31752-4130;2;14;2;;8;9;51;2;;;13;15;;2;2;9;10;;37;3;2;3;2;;;1;;1;2;;1;1;3;1;1;1;2;;2;;;;2;2;;;;;1;1;4;1;7;2;;1;;;;;3;1;7;;;1;;2;1;2;1;;;;2;;;;;;4;;1;;;;;;;;;;;;;1;7;;3;1;;;;;;;;;;;;;;2;;;;;2;1;;1;;3;;2;1;;6;1;;;2;2;;;;;;1;2;;
36899-5388;2;21;;;;4;41;2;5;;16;13;;2;1;5;9;;25;1;8;2;1;1;1;2;1;6;1;;3;;5;1;1;1;;;;;;;;10;4;;;;;;1;;4;2;;;;;;;3;1;10;1;;2;2;1;1;2;2;5;;2;;;;;1;1;7;;1;;1;1;1;;;;;;;4;;;6;;2;;;;;;;;;;3;4;;;1;3;3;2;2;2;1;1;2;2;1;3;;3;1;3;3;1;2;1;1;1;1;;;4;2;;2;;
31187-4605;1;4;;;1;5;27;1;2;;10;8;;1;1;8;4;;6;1;;;1;;;;;;4;;;;;1;1;1;;;;;;;;3;;2;;;;;2;;4;2;1;;;;;;1;1;4;;1;1;;;;1;1;2;;;;3;;1;;;1;;1;;;;;;;;;;;;;2;6;3;1;1;;;;;;;;;;;;;1;3;1;;;;1;;1;1;;;;1;1;;1;;;;1;1;;;;;;;;;
36212-5469;4;25;;9;32;14;93;5;6;;51;54;2;3;1;9;10;;62;4;3;;4;1;;2;1;2;2;1;1;1;1;1;;;;8;7;1;5;4;4;3;;;;;;;8;4;18;9;;5;1;1;2;;2;1;10;1;;1;;;;5;4;5;1;2;;3;;;;;20;2;7;;4;1;1;;;;2;1;2;1;;1;30;;10;3;3;;;;;;2;2;3;;;;1;4;4;3;2;2;;;3;1;2;3;1;2;;1;8;;1;;3;3;1;;;;;;;;
36491-7098;1;26;1;4;;7;67;1;7;;70;53;;;;;8;1;45;2;8;;;1;1;;;5;;;4;4;6;;;;;2;;;4;1;;3;1;;;;;;1;1;27;21;;2;1;1;1;;3;;10;;1;1;;;;1;1;7;;;2;1;1;;1;1;19;1;9;;7;3;3;3;;2;1;;4;2;1;;44;;13;7;5;2;2;2;1;;2;2;2;1;;;;;;;;;;3;;;3;1;2;4;4;1;8;1;1;;;;1;2;;1;2;;;;
36075-7098;;16;;1;5;3;19;1;4;;32;27;;3;1;7;8;;35;;4;;;;;;;4;;;4;3;4;;;;;1;3;3;1;1;2;3;1;;;1;;;1;;3;3;;2;2;1;;;2;;4;1;;1;;;;1;1;4;;2;6;1;;1;2;2;20;;11;;7;5;3;2;1;3;2;;5;2;2;;22;;14;9;5;4;3;2;;;1;1;3;;;;;;;;;;;;3;1;1;3;1;3;3;;7;2;1;;;;;;;3;1;;;;
31347-5469;6;24;1;1;11;7;100;4;2;1;33;42;3;2;1;1;9;1;34;6;7;5;4;3;3;5;3;4;9;1;2;2;4;3;2;2;1;1;4;2;1;1;1;16;2;2;1;3;1;1;4;6;26;21;5;7;2;;3;;3;;19;;1;5;2;5;4;4;3;2;1;;;12;3;1;2;2;12;4;4;2;1;;;;1;;7;4;;1;;4;30;9;10;3;1;;;;6;4;4;;;;3;2;;;;;;;;;2;1;1;1;2;3;1;;6;;2;1;2;2;3;4;1;;;3;4;2;
