aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
31155-5469;1;12;;1;;1;32;1;;;6;8;;1;1;4;4;;21;1;;1;1;1;1;1;;2;2;;;;2;1;1;;1;;1;1;;5;1;;;1;;;;3;1;;;;;;;1;;5;1;1;1;;1;1;1;;;;;;;;;;;;2;;2;;1;;;;;;;;;;;;1;3;;;;1;1;1;;;;;;;;;2;;;1;;1;1;;1;;;;;;1;1;;;2;;3;;;4;1;1;1;;1;;1;;;;;1;
10786-5469;4;20;1;;;;35;2;2;;10;17;;4;3;5;10;;11;5;2;2;3;3;2;3;1;5;1;4;2;2;1;3;3;1;;;;;;10;3;;2;1;;;;1;6;2;;2;1;1;;2;;6;;;;;;2;1;2;1;;1;4;2;;;1;;;5;3;3;1;2;;;;;;;3;3;;;1;1;9;1;;;5;3;2;;;;2;2;;2;1;1;;;3;;3;4;3;2;2;2;2;1;;1;4;1;;;;;;1;1;;;;;3;3;3;2;;;2;1;
35870-5469;4;17;;3;4;5;55;3;1;;10;15;;2;1;8;5;;33;4;;;1;4;4;4;4;1;6;;;;;1;;;2;1;2;1;1;9;;1;;;;;1;1;10;5;3;;;;1;1;1;13;;;3;1;;3;2;1;;1;;6;;4;3;;;;1;1;;;;;;;;;;3;3;;;;7;10;6;;;;;;;;;3;3;;2;;;;;1;2;1;4;1;3;2;1;;;;1;2;2;;2;;;;2;9;;3;1;1;;;4;;;;;;
31471-5468;2;22;1;;12;3;82;1;6;;21;18;;3;2;14;8;;44;2;;;2;;;1;;1;5;;;;3;2;2;;;4;;;2;8;;3;;;1;;2;4;10;7;3;2;1;;;4;2;23;2;1;2;;;1;1;6;4;1;;8;1;4;3;3;;;5;;2;;1;;;;;1;;;;2;;1;2;11;4;;;3;2;1;;;;;;;;;1;;;;2;1;6;;3;2;2;1;1;2;2;2;2;;5;1;1;1;;8;;;;;2;2;1;;;;;;
23725-5468;3;13;1;3;;5;59;1;18;17;58;43;;3;1;12;6;;27;8;20;3;1;2;2;2;2;2;2;;;;1;;;1;2;;2;2;;6;1;;;1;1;1;1;9;24;13;;;;;2;3;1;10;;;7;4;1;1;;15;;1;;1;;;;1;;;4;;2;;;;;;;;1;;;2;1;;3;23;1;;;2;1;;;;;;;;3;2;1;13;;;;;7;;2;2;;;;1;1;2;2;1;2;2;2;;1;12;1;7;5;1;1;;2;;1;4;3;2;
36379-5469;2;48;5;2;4;5;84;3;;;33;45;1;1;1;8;4;1;42;4;13;12;2;1;1;1;1;8;6;7;3;2;4;1;1;5;2;;2;2;;20;2;1;2;2;;;5;1;19;8;;6;3;;;2;2;18;4;3;5;1;8;2;2;;;;3;5;2;2;1;;;;21;3;9;3;5;4;3;3;;2;1;2;;2;1;4;1;25;;;;17;8;4;3;3;3;1;;;2;1;4;;1;1;;1;4;1;3;2;1;1;1;;2;1;2;;8;2;5;4;1;14;;2;;;2;2;1;;;2;9;1;
35529-5388;1;4;;;;2;16;;2;;8;8;;2;1;4;4;;12;1;1;2;1;;;;;1;1;;;;;1;1;;;;;;;4;1;;;;;;1;;4;3;3;;;;;2;;3;;;1;;2;;;2;;;;4;1;1;1;1;;;;;;;;;;;;;;2;2;;;;;6;4;;;;;;;;;2;2;;;;1;1;;;1;1;1;1;;;;;;1;;2;;;;;;;;2;;1;;;1;1;;;;;;2;
13142-6388;1;20;2;;2;2;80;;8;3;31;50;2;2;;8;7;1;18;1;10;4;1;;;;;3;4;5;3;1;2;1;1;2;;;;;1;13;3;;2;;;;2;3;28;15;2;2;1;;;4;;3;;;;;3;;;5;1;;1;5;2;1;1;;;;5;1;1;;;;;;;;;1;1;1;1;1;4;24;2;;;5;1;;;;;;;1;1;;;3;2;;1;;4;;2;1;1;1;1;;1;1;;2;1;;;;;;;;;;1;1;;3;1;3;2;1;
31958-7274;1;14;1;;;1;44;1;17;;42;38;;2;2;7;7;;26;2;;;1;;;;;3;2;3;2;1;1;1;1;1;;;;;;7;2;;2;;;;1;1;22;14;;;;;;4;;5;;;2;;;1;;17;3;1;1;5;2;;;1;5;5;6;;1;;;;;;;1;;3;2;3;;2;1;24;1;3;3;3;1;;;;;2;1;;1;1;3;;;;;1;5;;1;1;1;1;1;2;;1;1;1;1;1;6;3;;12;3;8;5;1;1;1;;;;;;;
13005-6398;2;22;1;;;1;25;1;;;5;6;;1;;1;7;;31;2;3;1;1;1;1;1;1;4;2;2;;;3;;;;;;;;;7;2;;;1;1;;;;1;;;;;;;2;1;8;;;4;2;;1;;;;;;;;;;;;;2;;2;;1;1;1;1;;;;1;;;;;;1;;;;1;1;;;;;;;;;;2;2;;;;;;;;;;;;;2;1;1;2;4;1;2;1;;10;2;3;1;1;1;1;1;;2;;1;1;
